frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.59699,0.6264,-0.0214,0.921,0.46442,0.54001,-0.24795,0.97,0.51031,0.23054,-0.44502,0.9535,0.70132,0.01423,-0.51838,0.9571,0.94607,-0.16342,-0.44833,0.968,0.7443,-0.01538,-0.50939,0.964,0.9038,-0.10703,-0.72459,0.9688,0.80287,0.18334,-0.65706,0.92,0.82772,0.22189,-0.64141,0.9835,1.01461,0.02178,-0.4345,0.9494,1.14821,-0.09064,-0.65719,0.99,0.968,0.2229,-0.55516,0.9751,0.97815,0.20595,-0.49927,0.958,1.22147,0.14246,-0.3039,0.99,1.36688,0.06876,-0.52603,0.99,1.13303,0.33194,-0.41185,0.9568,1.10758,0.28965,-0.30943,0.9085,1.36664,0.3179,-0.2206,0.9855,1.43362,0.24306,-0.35202,0.9431,1.22498,0.423,-0.26857,0.969,1.19914,0.38078,-0.16494,0.9332
1,0.41505,0.60423,-0.01091,0.9317,0.27811,0.51426,-0.31024,0.9341,0.39471,0.23327,-0.56988,0.9256,0.65183,0.03833,-0.67165,0.9615,0.95247,-0.08394,-0.59089,0.9313,0.73174,0.09091,-0.64009,0.9484,0.91049,-0.00516,-0.90164,0.9836,0.73482,0.26715,-0.80234,0.9497,0.73911,0.33067,-0.76211,0.9329,0.97531,0.12332,-0.53963,0.9065,1.15656,0.0644,-0.82447,0.9798,0.88554,0.36379,-0.68858,0.9338,0.91461,0.29157,-0.6379,0.9104,1.18324,0.27469,-0.42725,0.99,1.33183,0.25495,-0.67092,0.9638,1.0443,0.4821,-0.48954,0.9079,1.06202,0.38514,-0.37151,0.9494,1.31327,0.45377,-0.26409,0.9825,1.38346,0.41723,-0.46086,0.99,1.12294,0.55095,-0.33271,0.9659,1.12187,0.53418,-0.2147,0.9552
2,0.37642,0.65456,-0.02243,0.9224,0.26032,0.58427,-0.33915,0.9555,0.28975,0.26019,-0.61682,0.9387,0.55538,-0.07871,-0.68843,0.9536,0.86425,-0.28388,-0.62428,0.9542,0.6279,-0.10191,-0.68507,0.9266,0.80995,-0.15373,-0.96132,0.9784,0.69686,0.17629,-0.87493,0.9516,0.7257,0.22841,-0.81913,0.99,0.95675,-0.04941,-0.55032,0.9576,1.11943,-0.16349,-0.86235,0.9642,0.8709,0.22934,-0.73184,0.9424,0.91855,0.16715,-0.63201,0.9169,1.19796,0.07797,-0.38147,0.9367,1.38533,0.03253,-0.68869,0.9349,1.06745,0.31109,-0.49876,0.9009,1.06223,0.26754,-0.3913,0.9606,1.3626,0.29137,-0.24936,0.9322,1.43696,0.22684,-0.421,0.9667,1.1994,0.38922,-0.29001,0.939,1.15448,0.3748,-0.16915,0.9636
3,0.36138,0.58901,-0.02425,0.9263,0.25665,0.4832,-0.31444,0.9076,0.31812,0.13049,-0.55865,0.933,0.56573,-0.08334,-0.59462,0.989,0.82676,-0.26257,-0.50984,0.9681,0.60245,-0.09663,-0.61175,0.9417,0.77825,-0.20149,-0.81359,0.9018,0.65771,0.12092,-0.75981,0.8899,0.68455,0.18593,-0.74567,0.9528,0.8985,-0.0644,-0.49439,0.9849,1.07421,-0.15931,-0.73467,0.9241,0.839,0.17625,-0.62227,0.9522,0.86636,0.14357,-0.58567,0.9733,1.11927,0.06112,-0.32371,0.9227,1.30118,0.03417,-0.60855,0.9762,0.99022,0.29916,-0.42784,0.9627,0.975,0.22352,-0.32226,0.943,1.27273,0.29031,-0.2057,0.99,1.34979,0.20581,-0.36679,0.94,1.09973,0.37967,-0.27038,0.9702,1.07478,0.37448,-0.16039,0.9623
4,0.43128,0.67427,0.08946,0.965,0.27735,0.61811,-0.20982,0.9731,0.31298,0.25774,-0.44086,0.9087,0.50268,0.02621,-0.54027,0.9337,0.80513,-0.17703,-0.48679,0.9431,0.56362,0.01052,-0.55273,0.9169,0.72237,-0.13256,-0.81345,0.9241,0.61234,0.21553,-0.70453,0.9535,0.65914,0.27428,-0.71166,0.9464,0.87877,-0.00517,-0.4503,0.9764,1.01532,-0.09377,-0.7323,0.8853,0.80673,0.2633,-0.61004,0.9852,0.84472,0.20844,-0.54129,0.9645,1.12519,0.12898,-0.35933,0.9554,1.26234,0.05172,-0.6427,0.9327,1.01581,0.36512,-0.42332,0.9443,0.99674,0.29805,-0.30572,0.9682,1.31877,0.32529,-0.2297,0.8904,1.35015,0.25973,-0.42445,0.99,1.13168,0.4434,-0.27591,0.9406,1.11785,0.42416,-0.15521,0.8941
5,0.61885,0.48488,-0.05732,0.9427,0.46616,0.37226,-0.47644,0.9595,0.56727,-0.02829,-0.75866,0.9675,0.86311,-0.32939,-0.88551,0.93,1.21132,-0.58545,-0.76122,0.9673,0.91532,-0.33115,-0.84624,0.9383,1.15668,-0.48109,-1.16096,0.9187,0.95968,-0.08073,-1.05676,0.9512,1.01897,-0.01979,-1.02286,0.9392,1.29033,-0.33423,-0.69287,0.9411,1.49773,-0.43977,-1.04768,0.9752,1.20639,0.01619,-0.89026,0.9147,1.22416,-0.06079,-0.80347,0.9172,1.58519,-0.13872,-0.52046,0.99,1.80889,-0.21085,-0.83567,0.9495,1.38876,0.13426,-0.6478,0.99,1.38545,0.03801,-0.49042,0.9328,1.74023,0.12343,-0.35411,0.9216,1.87436,0.05134,-0.53701,0.99,1.55032,0.2555,-0.43755,0.99,1.52641,0.22216,-0.27211,0.524
6,0.53483,0.58041,0.01289,0.9339,0.38692,0.52243,-0.25487,0.9454,0.40134,0.13795,-0.54497,0.9283,0.59635,-0.1472,-0.64313,0.99,0.89296,-0.3516,-0.56525,0.928,0.68222,-0.16002,-0.62265,0.9594,0.8163,-0.29591,-0.90735,0.9125,0.75746,0.06348,-0.81592,0.9658,0.73954,0.11045,-0.78764,0.9176,1.00576,-0.15488,-0.54746,0.9853,1.15676,-0.28124,-0.85018,0.9263,0.90887,0.11732,-0.70545,0.9652,0.94232,0.07023,-0.6302,0.9412,1.25429,-0.03337,-0.42755,0.99,1.40374,-0.11092,-0.68933,0.8795,1.15791,0.20867,-0.52019,0.9504,1.12806,0.1513,-0.37787,0.9281,1.45688,0.16733,-0.29183,0.9343,1.49829,0.09888,-0.47077,0.9587,1.2876,0.28376,-0.32077,0.9864,1.253,0.28755,-0.21692,0.9138
7,0.5342,0.56096,0.08544,0.9774,0.38463,0.47767,-0.2196,0.9445,0.43361,0.14424,-0.44085,0.99,0.63554,-0.10111,-0.51591,0.9246,0.92858,-0.27843,-0.44831,0.9156,0.71624,-0.11413,-0.49959,0.95,0.88052,-0.23228,-0.75485,0.9506,0.76563,0.09161,-0.67084,0.9636,0.78442,0.13558,-0.64446,0.9337,0.98796,-0.07755,-0.38456,0.8939,1.13702,-0.19204,-0.6437,0.9269,0.94779,0.15758,-0.53036,0.99,0.96669,0.1041,-0.47779,0.9815,1.21415,0.01558,-0.26271,0.9324,1.36105,-0.02037,-0.49356,0.9151,1.10629,0.22735,-0.33811,0.9467,1.08375,0.17193,-0.24751,0.9724,1.3667,0.23849,-0.15001,0.9638,1.41515,0.14223,-0.30141,0.99,1.22055,0.33938,-0.20064,0.9308,1.19639,0.31866,-0.07753,0.99
8,0.49472,0.57675,-0.04901,0.9851,0.37611,0.50646,-0.35891,0.9593,0.43284,0.1577,-0.63259,0.9875,0.63599,-0.12966,-0.69915,0.9497,0.91376,-0.30886,-0.63367,0.9892,0.66823,-0.13122,-0.70056,0.9045,0.88676,-0.22713,-0.96982,0.9503,0.78386,0.09601,-0.87105,0.9642,0.79402,0.16366,-0.83862,0.9865,0.99084,-0.10648,-0.58292,0.9119,1.17685,-0.19836,-0.85637,0.99,0.94835,0.16251,-0.7277,0.9682,0.96877,0.10897,-0.66746,0.8771,1.22114,-0.016,-0.41377,0.9272,1.39844,-0.04209,-0.67299,0.9536,1.14567,0.2449,-0.53562,0.9442,1.09739,0.15677,-0.3936,0.99,1.39326,0.17466,-0.27717,0.976,1.47685,0.13352,-0.45663,0.9205,1.23921,0.29133,-0.33825,0.9038,1.21391,0.2892,-0.22083,0.9628
9,0.52544,0.43035,-0.01453,0.9594,0.37057,0.35273,-0.27776,0.9669,0.37927,0.0285,-0.52841,0.9722,0.61994,-0.22336,-0.64434,0.9095,0.89685,-0.39612,-0.58022,0.9541,0.65172,-0.22237,-0.64252,0.9238,0.83337,-0.34753,-0.88765,0.9415,0.73464,-0.01444,-0.79607,0.9765,0.75223,0.03297,-0.75826,0.99,0.96893,-0.21195,-0.54146,0.95,1.12533,-0.29936,-0.80612,0.99,0.92906,0.04983,-0.68307,0.9773,0.94183,-0.00512,-0.61567,0.9217,1.19547,-0.10244,-0.40869,0.8824,1.35441,-0.16185,-0.683,0.99,1.08898,0.13497,-0.48517,0.9103,1.07911,0.02738,-0.37301,0.9394,1.39512,0.0702,-0.26966,0.9596,1.43812,0.02203,-0.43656,0.9602,1.21141,0.2225,-0.31512,0.957,1.21264,0.15735,-0.21748,0.99
