frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.50025,0.67602,0.01882,0.8996,0.32638,0.58587,-0.22588,0.906,0.38185,0.35508,-0.44366,0.9745,0.60496,0.20624,-0.48385,0.9163,0.78753,0.16602,-0.43123,0.9294,0.59387,0.03045,-0.52623,0.9496,0.69289,-0.22194,-0.71638,0.99,0.78833,-0.3213,-0.82749,0.9432,0.88654,-0.46639,-0.95809,0.9874,0.86878,0.00691,-0.47106,0.9801,0.95888,-0.26164,-0.63042,0.9691,1.06418,-0.4069,-0.78802,0.9582,1.14482,-0.54228,-0.92592,0.9329,1.0892,0.11041,-0.37481,0.9647,1.19628,-0.12908,-0.51665,0.934,1.29281,-0.26142,-0.63186,0.99,1.36333,-0.40694,-0.75523,0.9263,1.27435,0.29122,-0.26261,0.9704,1.3576,0.10631,-0.38673,0.9683,1.44804,-0.01018,-0.46141,0.96,1.48405,-0.12856,-0.55183,0.9694
1,0.34927,0.53942,0.06173,0.9829,0.25901,0.45729,-0.22508,0.9427,0.29672,0.18045,-0.41502,0.91,0.52421,0.05087,-0.45472,0.9606,0.75718,0.03692,-0.37913,0.8952,0.54952,-0.13138,-0.49597,0.9468,0.68815,-0.38677,-0.65536,0.9553,0.80963,-0.52023,-0.77544,0.9102,0.93673,-0.61811,-0.90345,0.9493,0.80254,-0.12946,-0.40408,0.9387,0.97819,-0.39462,-0.57254,0.9522,1.07458,-0.58248,-0.69175,0.938,1.192,-0.7259,-0.82148,0.9387,1.02971,0.00522,-0.26243,0.9441,1.19299,-0.23369,-0.41998,0.9384,1.30333,-0.38852,-0.52367,0.9746,1.40173,-0.51848,-0.63898,0.9899,1.19728,0.17981,-0.14969,0.9242,1.34078,-0.02958,-0.23784,0.9011,1.43207,-0.10595,-0.33357,0.957,1.5085,-0.25967,-0.42095,0.9588
2,0.43863,0.49187,0.03216,0.9526,0.29141,0.41716,-0.31335,0.9115,0.36002,0.13612,-0.57465,0.9634,0.66922,-0.04407,-0.60795,0.9112,0.88323,-0.03843,-0.57217,0.9486,0.65623,-0.22366,-0.70359,0.9518,0.85043,-0.50948,-0.89741,0.9265,0.99461,-0.6332,-1.10469,0.9743,1.10956,-0.75996,-1.21624,0.9823,0.98763,-0.21153,-0.57373,0.9366,1.18638,-0.54215,-0.81807,0.9333,1.31884,-0.68334,-1.00737,0.9096,1.50061,-0.85857,-1.15141,0.99,1.25134,-0.07912,-0.43346,0.9073,1.45987,-0.33057,-0.6425,0.99,1.58188,-0.48313,-0.81238,0.9332,1.71821,-0.64323,-0.92494,0.9764,1.44535,0.16286,-0.25454,0.917,1.62371,-0.04885,-0.44961,0.99,1.72483,-0.1811,-0.56321,0.9835,1.81329,-0.33503,-0.6282,0.9244
3,0.61333,0.67327,-0.10395,0.9031,0.47937,0.5506,-0.43029,0.9293,0.52763,0.26736,-0.65457,0.8992,0.84016,0.07466,-0.68264,0.9675,1.06113,0.0776,-0.60837,0.9164,0.8489,-0.15977,-0.74226,0.9099,1.01057,-0.4338,-0.95907,0.957,1.13263,-0.5951,-1.11696,0.9511,1.28023,-0.73764,-1.21399,0.9102,1.1879,-0.10175,-0.61806,0.99,1.37727,-0.48704,-0.83365,0.9502,1.50972,-0.66221,-1.01449,0.9462,1.63597,-0.84649,-1.12086,0.9388,1.45692,0.03841,-0.4439,0.9539,1.61286,-0.28769,-0.66547,0.9004,1.77689,-0.44464,-0.81081,0.9037,1.88504,-0.62102,-0.90528,0.941,1.67981,0.25517,-0.34394,0.9661,1.79681,0.01049,-0.48393,0.9873,1.89833,-0.12291,-0.55928,0.9292,1.99006,-0.26992,-0.70893,0.9294
4,0.49467,0.50724,-0.05325,0.9399,0.34744,0.37108,-0.36147,0.99,0.42126,0.1203,-0.57918,0.956,0.7076,-0.0591,-0.56096,0.9306,0.90159,-0.03404,-0.49922,0.9537,0.69589,-0.22553,-0.63458,0.99,0.84337,-0.49792,-0.80681,0.9141,0.98752,-0.61766,-0.93209,0.9269,1.11247,-0.76365,-1.03168,0.9269,1.00285,-0.22005,-0.52491,0.9665,1.15809,-0.48727,-0.6742,0.9094,1.29276,-0.69052,-0.83243,0.9552,1.39562,-0.85609,-0.9607,0.9834,1.22272,-0.08656,-0.38178,0.9264,1.36935,-0.36698,-0.50524,0.948,1.53702,-0.52056,-0.63858,0.9431,1.61812,-0.64465,-0.73603,0.9793,1.38801,0.1347,-0.25252,0.9164,1.55118,-0.09007,-0.36573,0.9593,1.61368,-0.22901,-0.45284,0.9395,1.69808,-0.34977,-0.51301,0.9307
5,0.44114,0.6124,-0.08261,0.9729,0.29244,0.56025,-0.33285,0.9796,0.39712,0.32358,-0.54371,0.9331,0.59111,0.18613,-0.56405,0.9426,0.7841,0.18696,-0.50609,0.9217,0.58338,0.04176,-0.62067,0.9327,0.74395,-0.15877,-0.77278,0.9463,0.84006,-0.28424,-0.87385,0.9223,0.92193,-0.38172,-0.98278,0.9471,0.86065,0.05305,-0.50552,0.9647,0.97827,-0.17812,-0.67371,0.9238,1.10271,-0.35079,-0.81039,0.969,1.22354,-0.47158,-0.9331,0.386,1.02937,0.15571,-0.42825,0.9235,1.18995,-0.05673,-0.55538,0.9485,1.29672,-0.18254,-0.66411,0.99,1.38685,-0.30793,-0.75322,0.9154,1.18442,0.32988,-0.29571,0.9424,1.31829,0.16807,-0.38727,0.9305,1.39338,0.05574,-0.47554,0.9591,1.45938,-0.06579,-0.56256,0.9367
6,0.52346,0.53536,-0.04365,0.9192,0.40262,0.43845,-0.41569,0.8721,0.50761,0.16946,-0.72314,0.9413,0.87924,0.00269,-0.74196,0.9547,1.07457,-0.00485,-0.6286,0.9577,0.87244,-0.22655,-0.8253,0.9409,1.06719,-0.49858,-1.05197,0.9537,1.292,-0.65585,-1.24787,0.9289,1.43727,-0.75191,-1.38062,0.9318,1.22054,-0.22483,-0.68441,0.8875,1.43325,-0.5435,-0.9229,0.9556,1.62841,-0.71939,-1.10737,0.9563,1.78913,-0.86567,-1.26418,0.9294,1.47942,-0.03429,-0.4821,0.9717,1.71638,-0.34532,-0.70313,0.9573,1.88045,-0.50338,-0.85093,0.9432,2.03132,-0.66688,-0.9717,0.9469,1.66953,0.17872,-0.2601,0.9673,1.86515,-0.04782,-0.43975,0.9123,1.98945,-0.19057,-0.54721,0.9306,2.07555,-0.3023,-0.66596,0.9772
7,0.48547,0.45379,0.03086,0.9161,0.3583,0.36935,-0.27374,0.9448,0.40125,0.11007,-0.4537,0.99,0.63693,-0.07485,-0.45525,0.9702,0.87775,-0.12006,-0.40471,0.9435,0.67024,-0.2646,-0.55581,0.9476,0.79831,-0.56303,-0.69667,0.973,0.91827,-0.6945,-0.8431,0.8927,1.01907,-0.85268,-0.9202,0.964,0.97317,-0.27456,-0.40631,0.9538,1.09693,-0.59816,-0.56817,0.8673,1.22675,-0.80692,-0.6985,0.9601,1.31947,-0.96847,-0.83951,0.935,1.17775,-0.15705,-0.2366,0.9616,1.35432,-0.47235,-0.43079,0.9891,1.48357,-0.61603,-0.52571,0.9582,1.56719,-0.75644,-0.62452,0.942,1.38371,0.00589,-0.12793,0.9089,1.53252,-0.20328,-0.23952,0.9513,1.57746,-0.32986,-0.3236,0.9874,1.67001,-0.49339,-0.40099,0.99
8,0.61209,0.66132,-0.05034,0.9804,0.48792,0.55304,-0.29263,0.9762,0.52887,0.33973,-0.46086,0.9547,0.7572,0.21375,-0.48834,0.9545,0.93244,0.20655,-0.45681,0.9377,0.75844,0.04378,-0.5379,0.9642,0.8869,-0.16389,-0.6925,0.9304,0.96811,-0.2886,-0.7929,0.9236,1.08588,-0.39839,-0.92561,0.9583,1.01931,0.06771,-0.47048,0.9342,1.14829,-0.20106,-0.62758,0.9689,1.25001,-0.32181,-0.73286,0.953,1.35602,-0.46243,-0.8373,0.9778,1.23168,0.18022,-0.35875,0.9257,1.35763,-0.0481,-0.50313,0.9035,1.44236,-0.16071,-0.59076,0.99,1.53104,-0.28471,-0.68863,0.9053,1.36844,0.36114,-0.25067,0.9503,1.4664,0.17875,-0.36059,0.9773,1.55675,0.07333,-0.44635,0.9523,1.61433,-0.0458,-0.52477,0.9402
9,0.44686,0.55419,0.00455,0.9337,0.28917,0.43864,-0.40244,0.9593,0.40269,0.10867,-0.67455,0.9448,0.72139,-0.10548,-0.66608,0.8782,1.0161,-0.13551,-0.53438,0.9611,0.72579,-0.37861,-0.75516,0.9721,0.9807,-0.70834,-0.94644,0.9771,1.12475,-0.88238,-1.08109,0.9116,1.30348,-1.07233,-1.23451,0.9185,1.10651,-0.34201,-0.56939,0.9553,1.36056,-0.74563,-0.77536,0.9503,1.51468,-0.95552,-0.93491,0.9703,1.68266,-1.18607,-1.08253,0.99,1.43361,-0.165,-0.38173,0.9595,1.63999,-0.52223,-0.55357,0.99,1.82775,-0.70236,-0.69502,0.9202,1.90144,-0.90541,-0.82262,0.8674,1.59467,0.05365,-0.18788,0.9361,1.80744,-0.18191,-0.30658,0.9591,1.90887,-0.38119,-0.39099,0.908,2.03698,-0.53996,-0.52859,0.9576
10,0.6158,0.55131,0.10156,0.9402,0.47097,0.42022,-0.27838,0.99,0.56637,0.09676,-0.52778,0.9031,0.86524,-0.12604,-0.54444,0.9284,1.14661,-0.09837,-0.46222,0.9393,0.85995,-0.35105,-0.64449,0.984,1.08584,-0.65557,-0.84187,0.9501,1.20422,-0.82269,-1.00652,0.9351,1.38529,-0.97099,-1.1263,0.962,1.24957,-0.32731,-0.48513,0.9441,1.42507,-0.69385,-0.68391,0.9309,1.59308,-0.8772,-0.85655,0.9333,1.73125,-1.08695,-1.01692,0.948,1.52156,-0.16342,-0.29818,0.9556,1.70987,-0.51828,-0.51591,0.9478,1.87825,-0.65841,-0.63142,0.8983,2.02478,-0.86802,-0.76066,0.9478,1.71507,0.06024,-0.13317,0.9784,1.91279,-0.18207,-0.24275,0.9206,2.01835,-0.35852,-0.353,0.9198,2.12286,-0.49619,-0.44369,0.9482
