frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.60336,0.44907,-0.00849,0.9545,0.47908,0.35719,-0.37966,0.9303,0.49615,0.03311,-0.67032,0.8993,0.72233,-0.15258,-0.70902,0.9204,0.91308,-0.17749,-0.67946,0.9491,0.85025,-0.37679,-0.72688,0.9307,1.04087,-0.65155,-0.9925,0.9757,1.11044,-0.68735,-1.20936,0.978,1.15919,-0.60882,-1.32961,0.9344,1.20966,-0.37036,-0.57064,0.9891,1.42558,-0.70395,-0.86619,0.9343,1.51601,-0.6604,-1.08559,0.99,1.53724,-0.45505,-1.18937,0.9641,1.45001,-0.25656,-0.3945,0.9408,1.69079,-0.5497,-0.63075,0.9422,1.76351,-0.59072,-0.83989,0.99,1.71877,-0.37151,-0.89835,0.9393,1.65644,-0.02202,-0.19744,0.9663,1.84382,-0.28897,-0.41569,0.9397,1.92095,-0.39392,-0.63161,0.9544,1.9015,-0.35911,-0.71582,0.9507
1,0.37136,0.47198,0.02398,0.9818,0.22155,0.39393,-0.35805,0.9601,0.25137,0.07384,-0.69193,0.911,0.48226,-0.12898,-0.80033,0.9856,0.73078,-0.14296,-0.7499,0.9405,0.61914,-0.39489,-0.83738,0.9613,0.87694,-0.59336,-1.15047,0.9355,0.97014,-0.67657,-1.39038,0.9881,0.9848,-0.54429,-1.50757,0.8998,1.01052,-0.32236,-0.64709,0.9059,1.34495,-0.69336,-1.00699,0.9044,1.44663,-0.64148,-1.26309,0.9435,1.37577,-0.40747,-1.35465,0.9743,1.318,-0.22135,-0.44082,0.8995,1.62423,-0.50458,-0.73759,0.99,1.68973,-0.52873,-0.99408,0.9544,1.65411,-0.31852,-1.05807,0.9494,1.57433,0.04963,-0.23932,0.9719,1.78405,-0.22631,-0.49854,0.9625,1.86198,-0.3658,-0.75076,0.9405,1.84682,-0.28527,-0.83163,0.9642
2,0.54568,0.57107,-0.04726,0.99,0.38295,0.49607,-0.35248,0.912,0.40294,0.27359,-0.5786,0.9354,0.55737,0.08571,-0.69229,0.9657,0.74734,0.09434,-0.66531,0.9492,0.66376,-0.10145,-0.70178,0.9574,0.78381,-0.31232,-0.96855,0.9301,0.87301,-0.32104,-1.18826,0.99,0.87297,-0.24861,-1.23727,0.9501,1.00072,-0.07555,-0.60472,0.9569,1.17492,-0.34766,-0.89536,0.9502,1.22485,-0.31729,-1.0856,0.9641,1.19493,-0.14656,-1.17343,0.9481,1.23226,0.02379,-0.48344,0.9246,1.41094,-0.23027,-0.71091,0.9443,1.46918,-0.23676,-0.89089,0.9059,1.40998,-0.08275,-0.95732,0.9524,1.4058,0.21981,-0.32525,0.9136,1.56669,-0.00789,-0.54268,0.923,1.63935,-0.09411,-0.73206,0.9646,1.61056,-0.05269,-0.78454,0.9082
3,0.367,0.51941,-0.01089,0.9285,0.21566,0.42463,-0.35015,0.9626,0.24328,0.13966,-0.59699,0.9496,0.45139,-0.02464,-0.66828,0.8954,0.65202,-0.02217,-0.63715,0.99,0.59484,-0.22484,-0.67601,0.9317,0.76363,-0.45361,-0.95922,0.9578,0.83009,-0.4512,-1.15661,0.9777,0.86363,-0.39921,-1.26169,0.9385,0.90153,-0.18963,-0.55684,0.9313,1.16574,-0.44533,-0.82713,0.959,1.22416,-0.4172,-1.06604,0.9541,1.16717,-0.26334,-1.13567,0.9039,1.13149,-0.04445,-0.40341,0.9378,1.37824,-0.33123,-0.64218,0.9322,1.43442,-0.34336,-0.83547,0.9581,1.36546,-0.15628,-0.90276,0.99,1.33398,0.17059,-0.27293,0.9465,1.49469,-0.07598,-0.46946,0.9744,1.57858,-0.14031,-0.63574,0.9659,1.5578,-0.14124,-0.71817,0.9504
4,0.42045,0.65039,0.09622,0.9608,0.26355,0.52266,-0.24504,0.9303,0.30154,0.23194,-0.53834,0.9282,0.47933,0.05293,-0.63459,0.9841,0.70578,0.05398,-0.60184,0.9183,0.64491,-0.18727,-0.65,0.9526,0.80141,-0.43962,-0.93519,0.963,0.88347,-0.49789,-1.17488,0.9614,0.86713,-0.39631,-1.26854,0.9646,0.9926,-0.17319,-0.51935,0.9624,1.21216,-0.49627,-0.85586,0.9041,1.30554,-0.44615,-1.1034,0.9479,1.23509,-0.24733,-1.19448,0.9367,1.27109,-0.00631,-0.3884,0.9788,1.4993,-0.29727,-0.64242,0.9073,1.55062,-0.35432,-0.87344,0.99,1.48099,-0.20001,-0.9549,0.9402,1.50125,0.2292,-0.23716,0.9402,1.68924,-0.03202,-0.48441,0.9164,1.71014,-0.14926,-0.66988,0.937,1.69034,-0.08722,-0.79449,0.9515
5,0.51705,0.64558,0.00109,0.9575,0.33842,0.50874,-0.34683,0.9015,0.34425,0.21255,-0.65288,0.92,0.58625,-0.00557,-0.73402,0.9517,0.81872,-0.01832,-0.68585,0.8882,0.73171,-0.24799,-0.70155,0.321,0.893,-0.55753,-1.00328,0.9278,1.01526,-0.65535,-1.22357,0.99,1.01236,-0.53902,-1.36816,0.99,1.10033,-0.25104,-0.58679,0.9557,1.35129,-0.61818,-0.85914,0.9256,1.42746,-0.59015,-1.14317,0.9236,1.38931,-0.37837,-1.30878,0.9115,1.39774,-0.10781,-0.41864,0.9834,1.63244,-0.44763,-0.66275,0.8792,1.74957,-0.50505,-0.93206,0.99,1.64768,-0.33213,-0.99133,0.8974,1.64187,0.15591,-0.24753,0.959,1.82502,-0.15126,-0.47349,0.9464,1.91478,-0.28665,-0.72411,0.9284,1.87543,-0.26393,-0.8101,0.9109
6,0.37002,0.60068,0.03777,0.9779,0.26118,0.51463,-0.25651,0.9417,0.29455,0.24657,-0.52171,0.9872,0.50432,0.06587,-0.5733,0.9158,0.67004,0.04193,-0.54479,0.99,0.6138,-0.14171,-0.5789,0.9527,0.82514,-0.37942,-0.80182,0.9449,0.91575,-0.39395,-1.02059,0.9198,0.92829,-0.32002,-1.11842,0.908,0.91492,-0.10309,-0.41342,0.9685,1.15329,-0.40264,-0.65847,0.9487,1.267,-0.36952,-0.90053,0.99,1.1997,-0.17173,-0.97709,0.9452,1.16076,0.02183,-0.2635,0.9406,1.37889,-0.23929,-0.47175,0.9864,1.46361,-0.27871,-0.65812,0.9206,1.38018,-0.10994,-0.7473,0.9526,1.3078,0.2183,-0.11681,0.9696,1.49284,0.02103,-0.26723,0.9364,1.59526,-0.11955,-0.44563,0.9638,1.56055,-0.05219,-0.53486,0.9315
7,0.42595,0.5668,-0.04172,0.9425,0.30977,0.48856,-0.32324,0.9284,0.37176,0.26138,-0.52172,0.9322,0.55447,0.13298,-0.61979,0.934,0.69218,0.13387,-0.6005,0.9359,0.6734,-0.02674,-0.62056,0.9709,0.82297,-0.2061,-0.84446,0.9258,0.87626,-0.21544,-1.0289,0.9772,0.88224,-0.1841,-1.11545,0.9289,0.91764,0.00021,-0.51268,0.9833,1.14385,-0.21831,-0.75764,0.9341,1.20188,-0.1887,-0.95875,0.8963,1.14344,-0.01482,-1.03461,0.9462,1.15073,0.13999,-0.3832,0.951,1.34098,-0.08937,-0.59217,0.9326,1.38794,-0.1058,-0.78474,0.9836,1.32892,0.0521,-0.80691,0.9513,1.27379,0.33118,-0.23906,0.99,1.45365,0.13244,-0.43357,0.9769,1.50653,0.04788,-0.58279,0.9488,1.47851,0.1056,-0.68223,0.9663
8,0.59693,0.42495,0.09005,0.9186,0.49411,0.34886,-0.15773,0.99,0.53178,0.1531,-0.33646,0.9361,0.67654,0.03926,-0.40058,0.9645,0.82023,0.04391,-0.36972,0.9392,0.78853,-0.09893,-0.39325,0.9535,0.94118,-0.27754,-0.59776,0.9035,1.00768,-0.30424,-0.75397,0.9297,1.01251,-0.24217,-0.82292,0.9521,1.03396,-0.08856,-0.29316,0.951,1.21804,-0.30002,-0.4982,0.9757,1.27017,-0.27146,-0.66834,0.8893,1.23529,-0.1283,-0.72421,0.9208,1.18583,-0.00094,-0.17301,0.8824,1.38975,-0.17992,-0.33714,0.9562,1.40691,-0.21886,-0.48764,0.9633,1.37985,-0.07282,-0.54314,0.99,1.3378,0.17706,-0.05377,0.93,1.49152,0.00451,-0.20085,0.9495,1.5436,-0.08689,-0.3526,0.99,1.50471,-0.04961,-0.41958,0.9217
9,0.561,0.50436,0.06971,0.9821,0.32885,0.37292,-0.33525,0.9525,0.35768,-0.02079,-0.6563,0.9245,0.58659,-0.22944,-0.73351,0.9475,0.89763,-0.26863,-0.74633,0.9204,0.77358,-0.53708,-0.71026,0.9452,0.94768,-0.84405,-1.07319,0.9783,1.02775,-0.91108,-1.34511,0.967,1.06689,-0.79131,-1.43809,0.913,1.16531,-0.49612,-0.54286,0.9448,1.43787,-0.90107,-0.91452,0.9231,1.50604,-0.87991,-1.21918,0.9715,1.48637,-0.65699,-1.33654,0.9381,1.52719,-0.3203,-0.43048,0.911,1.76706,-0.71842,-0.71095,0.923,1.83379,-0.76568,-0.93454,0.9638,1.76698,-0.53947,-1.05169,0.9632,1.76155,-0.05216,-0.24801,0.9378,1.99692,-0.38607,-0.48893,0.9375,2.04148,-0.53852,-0.72975,0.8994,1.99077,-0.47735,-0.82669,0.9017
