frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.37391,0.53196,0.04796,0.9648,0.12564,0.38042,-0.30537,0.9541,0.08361,0.0555,-0.61331,0.947,0.29609,-0.10713,-0.75847,0.975,0.54232,-0.0582,-0.77631,0.9501,0.47766,-0.42845,-0.7745,0.9297,0.76529,-0.76014,-1.24644,0.8636,0.75285,-0.33807,-1.18604,0.9131,0.66751,-0.10909,-1.08435,0.99,0.92501,-0.4076,-0.7086,0.962,1.11173,-0.71757,-1.0864,0.9574,1.02531,-0.29118,-0.96519,0.95,0.92276,-0.22832,-0.88164,0.9203,1.25761,-0.24565,-0.57411,0.9822,1.47684,-0.43214,-0.88641,0.9556,1.24903,-0.10559,-0.69549,0.9495,1.1436,-0.06831,-0.52721,0.9229,1.50169,0.07897,-0.43473,0.954,1.61566,-0.24345,-0.65073,0.9131,1.41579,-0.00916,-0.48088,0.9622,1.29066,0.04703,-0.3394,0.9632
1,0.59854,0.67642,0.06126,0.948,0.38512,0.56055,-0.22599,0.9522,0.36802,0.29577,-0.48284,0.99,0.52899,0.16141,-0.56152,0.9299,0.70521,0.15817,-0.60939,0.9309,0.67981,-0.12709,-0.56657,0.9776,0.87022,-0.41428,-0.9309,0.954,0.86805,-0.09358,-0.89961,0.9548,0.84861,0.06994,-0.84372,0.9323,1.00831,-0.10121,-0.4889,0.9605,1.18512,-0.40379,-0.76145,0.9628,1.07982,-0.05627,-0.68099,0.9148,1.05338,0.01558,-0.6117,0.9485,1.2827,0.00998,-0.38666,0.9479,1.44596,-0.19249,-0.62376,0.9621,1.27705,0.1025,-0.47786,0.8961,1.19494,0.13295,-0.378,0.9593,1.513,0.22221,-0.26414,0.9384,1.58932,-0.00427,-0.44723,0.944,1.41445,0.17352,-0.30365,0.95,1.31484,0.21783,-0.20913,0.9302
2,0.52754,0.52028,0.07926,0.9583,0.40095,0.4303,-0.23109,0.9492,0.42152,0.21034,-0.51867,0.9855,0.58836,0.12575,-0.60672,0.99,0.77409,0.12567,-0.60938,0.99,0.76683,-0.1354,-0.6314,0.972,1.04684,-0.34324,-0.98998,0.9779,0.98665,-0.03457,-0.9141,0.9554,0.94144,0.13152,-0.83905,0.9313,1.09345,-0.1009,-0.52517,0.9505,1.34653,-0.27576,-0.82845,0.99,1.16851,0.0007,-0.68797,0.9641,1.14768,0.06133,-0.65126,0.9716,1.32997,0.07719,-0.37685,0.9243,1.53799,-0.06787,-0.63399,0.9703,1.34456,0.16381,-0.44367,0.9779,1.24297,0.16968,-0.35324,0.9615,1.50464,0.2626,-0.22349,0.9643,1.63915,0.10847,-0.40673,0.9681,1.45091,0.22522,-0.2851,0.9466,1.33675,0.26682,-0.18669,0.9204
3,0.56213,0.52051,-0.03344,0.9531,0.38648,0.41077,-0.36133,0.9715,0.37948,0.14475,-0.59417,0.9177,0.54701,-0.02143,-0.63958,0.9708,0.73889,-0.05248,-0.63767,0.9642,0.68475,-0.31849,-0.60754,0.9791,0.9293,-0.67555,-0.9284,0.9087,0.92424,-0.31849,-0.90506,0.99,0.91415,-0.10276,-0.90671,0.9775,1.01665,-0.3403,-0.48307,0.9394,1.22458,-0.65276,-0.73359,0.9855,1.14793,-0.29135,-0.67449,0.9586,1.0766,-0.19924,-0.59815,0.9419,1.27991,-0.23341,-0.35,0.9379,1.48585,-0.41223,-0.56015,0.9461,1.30636,-0.11339,-0.4415,0.9349,1.22296,-0.07494,-0.34178,0.9469,1.48278,-0.00712,-0.22439,0.9344,1.61479,-0.2225,-0.36799,0.9478,1.40172,-0.04697,-0.27549,0.9464,1.30191,0.0344,-0.161,0.99
4,0.50156,0.71631,-0.0766,0.9506,0.3111,0.551,-0.43497,0.9688,0.36388,0.25791,-0.68882,0.8917,0.56246,0.08876,-0.76094,0.9335,0.77487,0.09208,-0.72406,0.9343,0.71986,-0.23052,-0.70736,0.9475,0.99487,-0.54598,-1.04992,0.9622,1.00327,-0.20973,-1.04636,0.9791,0.9697,0.01884,-0.98492,0.9454,1.09751,-0.21119,-0.55177,0.9872,1.35918,-0.51157,-0.84534,0.9376,1.21947,-0.15872,-0.76118,0.9858,1.15094,-0.06268,-0.71445,0.9722,1.35469,-0.06285,-0.41317,0.9618,1.59635,-0.2655,-0.62108,0.99,1.34049,0.0536,-0.5133,0.8968,1.23993,0.07747,-0.38453,0.99,1.56835,0.16613,-0.22864,0.9363,1.71417,-0.04448,-0.41522,0.9069,1.48061,0.13296,-0.29309,0.9597,1.36893,0.18891,-0.18762,0.99
5,0.5572,0.6693,-0.06906,0.9399,0.42148,0.54737,-0.36952,0.9073,0.41423,0.32278,-0.54402,0.9345,0.57427,0.17711,-0.60465,0.8853,0.7165,0.18996,-0.60077,0.969,0.68381,-0.06503,-0.56589,0.207,0.87409,-0.36808,-0.85517,0.99,0.88187,-0.06977,-0.85722,0.9375,0.89016,0.10929,-0.79668,0.9796,0.94512,-0.0889,-0.47202,0.9331,1.12846,-0.34595,-0.70893,0.99,1.06957,-0.02615,-0.63281,0.946,0.99662,0.02843,-0.58989,0.99,1.20095,0.01004,-0.36064,0.9844,1.35997,-0.18206,-0.54676,0.9395,1.1915,0.06545,-0.40167,0.9622,1.11146,0.11413,-0.33544,0.9765,1.36392,0.17993,-0.24418,0.9333,1.44014,-0.03651,-0.3301,0.9314,1.30298,0.15385,-0.27863,0.9736,1.20682,0.20802,-0.18128,0.9351
6,0.61718,0.53078,-0.07207,0.9279,0.43521,0.42931,-0.48045,0.9759,0.54502,0.13592,-0.78997,0.9824,0.72934,-0.01707,-0.89398,0.9779,0.96528,-0.01952,-0.86027,0.8869,0.99095,-0.33986,-0.8656,0.9875,1.35085,-0.64417,-1.26887,0.9053,1.27547,-0.25126,-1.20003,0.9327,1.21981,-0.03946,-1.14211,0.9112,1.35413,-0.33383,-0.67468,0.9487,1.68988,-0.58203,-1.01897,0.9222,1.48387,-0.19823,-0.9126,0.9696,1.39891,-0.13846,-0.84045,0.965,1.64271,-0.13939,-0.47368,0.9609,1.94217,-0.29751,-0.74797,0.9518,1.63864,0.03084,-0.58839,0.9337,1.48727,-0.02159,-0.49533,0.9583,1.80278,0.1159,-0.26084,0.9217,2.0306,-0.10198,-0.4708,0.9352,1.77843,0.07742,-0.32076,0.9639,1.60698,0.13185,-0.24317,0.9667
7,0.56554,0.61458,-0.09552,0.8989,0.4219,0.55365,-0.4703,0.9545,0.43132,0.2785,-0.7456,0.9462,0.63118,0.10092,-0.87337,0.9812,0.82722,0.13784,-0.85897,0.9812,0.80416,-0.18555,-0.85507,0.9186,1.02514,-0.45764,-1.23118,0.939,1.0598,-0.09628,-1.14873,0.9278,1.01041,0.10257,-1.08124,0.99,1.1344,-0.18064,-0.71338,0.9424,1.37115,-0.44474,-1.02584,0.99,1.24976,-0.08204,-0.87449,0.9512,1.22318,-0.01367,-0.7982,0.8684,1.39397,-0.03546,-0.52682,0.9749,1.65697,-0.23677,-0.76299,0.9884,1.43653,0.05101,-0.60456,0.9841,1.32674,0.12631,-0.50763,0.99,1.6106,0.17544,-0.3428,0.9176,1.74721,-0.05772,-0.53935,0.9169,1.56,0.10711,-0.40141,0.9049,1.42747,0.16792,-0.30761,0.941
8,0.56121,0.51694,0.11132,0.9407,0.41621,0.43383,-0.15015,0.9349,0.44035,0.23775,-0.36119,0.9821,0.5611,0.15231,-0.46102,0.9465,0.67832,0.1455,-0.42628,0.99,0.66639,-0.08832,-0.45079,0.9232,0.85389,-0.31475,-0.71553,0.938,0.85134,-0.06921,-0.66134,0.9453,0.8202,0.12008,-0.62776,0.9687,0.91174,-0.08913,-0.36763,0.9598,1.06314,-0.30635,-0.6083,0.9155,1.01097,-0.04726,-0.50387,0.9124,0.96561,0.0466,-0.44592,0.99,1.12583,0.01143,-0.2443,0.9435,1.27869,-0.14073,-0.45238,0.9665,1.1265,0.08536,-0.32798,0.9282,1.05754,0.09436,-0.22781,0.9625,1.30271,0.16004,-0.12569,0.9425,1.38579,-0.01301,-0.28205,0.978,1.24123,0.10913,-0.17306,0.931,1.17381,0.15513,-0.09379,0.9879
9,0.62454,0.51682,0.07187,0.9476,0.41733,0.39115,-0.27197,0.9237,0.40809,0.13452,-0.5243,0.9591,0.58942,-0.00244,-0.59438,0.9548,0.77945,-0.00859,-0.58861,0.9315,0.73807,-0.31297,-0.57091,0.99,0.96024,-0.62343,-0.95356,0.9569,0.96875,-0.2938,-0.90415,0.9487,0.9285,-0.08231,-0.83598,0.9463,1.0931,-0.28673,-0.45089,0.9552,1.29596,-0.5945,-0.77069,0.9014,1.18981,-0.25655,-0.66668,0.9235,1.16271,-0.19062,-0.61651,0.9317,1.35487,-0.20013,-0.34164,0.9497,1.54708,-0.39845,-0.57296,0.9734,1.36125,-0.09233,-0.43732,0.9771,1.29138,-0.08052,-0.33988,0.967,1.56495,-0.00583,-0.19986,0.9834,1.67359,-0.24111,-0.35036,0.9589,1.4974,-0.0386,-0.25753,0.9315,1.38683,0.05049,-0.14364,0.9856
