frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.49727,0.66828,0.05102,0.99,0.37813,0.59309,-0.19405,0.9439,0.42981,0.3069,-0.41479,0.9282,0.64035,0.10845,-0.49834,0.9373,0.91755,-0.03726,-0.4345,0.8883,0.72675,0.08781,-0.47297,0.9448,0.8416,0.03335,-0.70754,0.989,0.73406,0.30152,-0.64371,0.9691,0.72984,0.33089,-0.60984,0.9619,0.93509,0.15149,-0.40328,0.9417,1.09668,0.08107,-0.63473,0.9406,0.87552,0.38671,-0.52482,0.99,0.89806,0.30963,-0.46877,0.9324,1.13315,0.2976,-0.27425,0.9153,1.29314,0.24348,-0.51753,0.9443,1.0223,0.46272,-0.35393,0.9866,1.01715,0.38693,-0.25191,0.9419,1.26364,0.43989,-0.15826,0.9199,1.44284,0.32293,-0.29056,0.99,1.48455,0.19438,-0.36682,0.9794,1.54963,0.0809,-0.46069,0.9418
1,0.46923,0.63754,-0.03587,0.9212,0.30467,0.5129,-0.37994,0.9538,0.40048,0.11971,-0.67828,0.9207,0.69998,-0.11011,-0.76921,0.9854,1.01124,-0.33314,-0.72438,0.9609,0.7631,-0.12401,-0.7646,0.9366,0.97403,-0.24011,-1.06957,0.99,0.79616,0.13037,-0.92886,0.9056,0.80641,0.19533,-0.90032,0.9511,1.12539,-0.08986,-0.60391,0.9177,1.2869,-0.16073,-0.95752,0.9402,1.03278,0.22767,-0.79618,0.9666,1.05416,0.15432,-0.72879,0.9343,1.33911,0.08319,-0.4695,0.9122,1.52747,0.02688,-0.80233,0.9538,1.19588,0.29858,-0.55308,0.9302,1.19774,0.24846,-0.43894,0.9544,1.54344,0.3117,-0.28461,0.9429,1.73334,0.09799,-0.44486,0.9503,1.81751,-0.02922,-0.57382,0.9391,1.91579,-0.14986,-0.64034,0.9493
2,0.52366,0.67802,-0.04108,0.9491,0.37238,0.57192,-0.33547,0.9467,0.40089,0.1703,-0.61254,0.9648,0.61905,-0.11495,-0.69977,0.972,0.91633,-0.32592,-0.58364,0.9465,0.684,-0.11037,-0.67535,0.9336,0.80623,-0.28299,-0.93368,0.9223,0.76884,0.10695,-0.88463,0.9324,0.77084,0.16234,-0.86082,0.8786,1.04251,-0.11659,-0.57171,0.974,1.17677,-0.22391,-0.88698,0.9421,0.93072,0.16844,-0.75159,0.9655,0.97017,0.11184,-0.69333,0.916,1.26764,0.0193,-0.45902,0.9449,1.46467,-0.08506,-0.76358,0.9569,1.1657,0.25167,-0.53481,0.9479,1.17488,0.18812,-0.43558,0.8839,1.49014,0.223,-0.34404,0.9484,1.63066,0.00713,-0.47963,0.9891,1.74014,-0.13177,-0.58585,0.9375,1.78186,-0.30668,-0.63828,0.94
3,0.37174,0.50411,-0.02866,0.99,0.28136,0.42575,-0.24753,0.8995,0.32954,0.15864,-0.43873,0.9276,0.48083,-0.04911,-0.49502,0.9095,0.70724,-0.20775,-0.41422,0.9885,0.54581,-0.05821,-0.47755,0.9379,0.65928,-0.16024,-0.65865,0.9438,0.56796,0.10289,-0.61659,0.9558,0.59787,0.15821,-0.60368,0.9268,0.76266,-0.04335,-0.40013,0.9439,0.90854,-0.12629,-0.58989,0.99,0.72855,0.15776,-0.5228,0.9745,0.76027,0.10383,-0.46157,0.9482,0.95451,0.03561,-0.27013,0.9799,1.0796,0.01059,-0.48487,0.9423,0.86641,0.2269,-0.37296,0.9527,0.8545,0.17986,-0.28958,0.9728,1.08673,0.20397,-0.1894,0.99,1.19837,0.03754,-0.27856,0.9618,1.26257,-0.05807,-0.3377,0.9674,1.32509,-0.14505,-0.39626,0.9571
4,0.46915,0.49915,-0.02236,0.953,0.35044,0.41186,-0.27245,0.9263,0.41493,0.12936,-0.46934,0.9034,0.60887,-0.09913,-0.51068,0.9234,0.85137,-0.21746,-0.43505,0.9328,0.68117,-0.06663,-0.51602,0.9804,0.83536,-0.18198,-0.71042,0.988,0.72237,0.0842,-0.65059,0.964,0.73917,0.15728,-0.63188,0.9553,0.90147,-0.0563,-0.40713,0.9164,1.05287,-0.12885,-0.62989,0.954,0.8682,0.15153,-0.53446,0.9418,0.87843,0.09652,-0.48374,0.8783,1.10798,0.07972,-0.2707,0.9194,1.22667,0.02391,-0.5127,0.9516,0.98763,0.25624,-0.36484,0.9599,0.99665,0.18899,-0.28533,0.99,1.24,0.22998,-0.18022,0.8948,1.36008,0.09808,-0.27154,0.9733,1.44594,-0.02751,-0.33136,0.9846,1.50368,-0.13097,-0.41114,0.9018
5,0.57266,0.61451,-0.02733,0.9756,0.43484,0.48749,-0.38158,0.9231,0.48835,0.07789,-0.67378,0.9705,0.77921,-0.1902,-0.85763,0.937,1.17073,-0.49437,-0.7889,0.9477,0.83542,-0.23135,-0.86643,0.9704,1.0192,-0.37713,-1.19281,0.9329,0.9112,0.05691,-1.05808,0.9522,0.93937,0.15449,-1.0389,0.9326,1.22106,-0.21684,-0.72508,0.9516,1.41199,-0.35165,-1.1028,0.9737,1.15168,0.1267,-0.89459,0.9517,1.17297,0.07157,-0.84624,0.9603,1.54851,-0.0738,-0.55425,0.598,1.74502,-0.13035,-0.92371,0.9752,1.37791,0.23493,-0.65165,0.99,1.37895,0.14134,-0.51762,0.9,1.79684,0.18464,-0.36297,0.9588,1.96972,-0.07413,-0.58139,0.9569,2.06834,-0.22784,-0.68721,0.9669,2.1509,-0.35144,-0.82302,0.9333
6,0.45609,0.67454,0.01592,0.9851,0.34783,0.58396,-0.22323,0.9218,0.4069,0.27298,-0.41401,0.976,0.59112,0.05467,-0.44477,0.9418,0.81894,-0.10524,-0.36488,0.9726,0.64681,0.05549,-0.44145,0.9589,0.77851,-0.04542,-0.63014,0.9697,0.70291,0.22866,-0.58676,0.9738,0.71668,0.279,-0.57509,0.9308,0.87308,0.07198,-0.327,0.9521,1.02727,-0.02758,-0.56876,0.9761,0.86138,0.27481,-0.48983,0.9707,0.85917,0.2304,-0.42565,0.9532,1.09497,0.18531,-0.23344,0.9746,1.2382,0.13075,-0.43469,0.9129,0.97828,0.36954,-0.32557,0.9345,0.96795,0.31404,-0.22114,0.9177,1.21204,0.3472,-0.10485,0.9024,1.35027,0.19855,-0.17115,0.9778,1.41477,0.07245,-0.26836,0.9588,1.47183,-0.04004,-0.31738,0.9582
7,0.40264,0.70377,-0.08654,0.9719,0.28119,0.62417,-0.34173,0.99,0.2928,0.30504,-0.54201,0.9356,0.51451,0.08734,-0.60371,0.9587,0.71133,-0.09709,-0.52083,0.9384,0.51515,0.07847,-0.5911,0.9638,0.66637,-0.0539,-0.82491,0.9411,0.60201,0.2561,-0.73963,0.9373,0.62657,0.29234,-0.71669,0.9666,0.79598,0.05603,-0.47859,0.957,0.92105,-0.02694,-0.72972,0.9889,0.76556,0.28436,-0.6168,0.9329,0.7641,0.25774,-0.55929,0.9152,0.98867,0.14674,-0.33655,0.9351,1.13644,0.1029,-0.58867,0.9497,0.91828,0.38131,-0.45099,0.9214,0.89653,0.30421,-0.35034,0.9131,1.16463,0.33117,-0.24505,0.9625,1.27569,0.13176,-0.35264,0.9867,1.31823,0.01592,-0.4136,0.9302,1.39186,-0.09638,-0.49381,0.9252
8,0.43049,0.60838,0.00134,0.9529,0.23743,0.43306,-0.35705,0.9532,0.27646,-0.04088,-0.63936,0.9715,0.60082,-0.391,-0.73434,0.9765,0.92941,-0.65018,-0.61921,0.959,0.61057,-0.37944,-0.72874,0.9253,0.87162,-0.55814,-1.05271,0.9789,0.73531,-0.13062,-0.97442,0.8559,0.77656,-0.04759,-0.93389,0.9191,1.03935,-0.38755,-0.58965,0.9469,1.21557,-0.518,-0.95561,0.965,0.98886,-0.01811,-0.79137,0.9743,1.00471,-0.08235,-0.70365,0.9019,1.36448,-0.1799,-0.40041,0.9438,1.62308,-0.29929,-0.76159,0.9651,1.23403,0.09457,-0.5433,0.9584,1.20079,0.00286,-0.39305,0.9023,1.62483,0.04166,-0.27263,0.9214,1.80141,-0.25839,-0.41836,0.8989,1.94187,-0.3926,-0.54412,0.99,1.98349,-0.58262,-0.64971,0.9079
9,0.49158,0.67719,-0.04336,0.9292,0.37187,0.5846,-0.32103,0.9843,0.42592,0.27754,-0.53472,0.943,0.66003,0.02583,-0.61974,0.9062,0.93022,-0.10454,-0.52734,0.9067,0.7197,0.01466,-0.62048,0.9605,0.89716,-0.08241,-0.85215,0.9345,0.76643,0.229,-0.76895,0.943,0.76731,0.32637,-0.75824,0.9561,0.98872,0.04487,-0.51477,0.8985,1.15841,-0.04078,-0.77433,0.9031,0.9341,0.32204,-0.65642,0.9727,0.94809,0.24127,-0.57933,0.94,1.20616,0.18662,-0.37893,0.9597,1.3924,0.15065,-0.62301,0.9797,1.10526,0.4035,-0.45713,0.9568,1.08967,0.33662,-0.34892,0.9169,1.36182,0.3855,-0.24394,0.9339,1.51865,0.1725,-0.39294,0.9329,1.59685,0.07499,-0.45989,0.9267,1.69231,-0.02063,-0.53805,0.9685
