frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.39927,0.63836,-0.10735,0.9485,0.22852,0.50686,-0.43271,0.9883,0.19182,0.30634,-0.72135,0.9596,0.23758,0.3004,-0.87707,0.99,0.29588,0.34936,-0.96388,0.9232,0.63497,-0.18409,-0.77147,0.9482,0.82965,-0.4877,-0.97165,0.9249,0.96571,-0.60675,-1.14856,0.9625,1.11771,-0.77412,-1.27849,0.9178,0.96898,-0.15785,-0.64246,0.9373,1.17122,-0.27568,-0.99752,0.9373,0.91391,0.13841,-0.87372,0.952,0.92744,0.0745,-0.78089,0.99,1.23359,-0.00328,-0.54482,0.9264,1.42366,-0.0525,-0.84096,0.9595,1.078,0.26703,-0.60645,0.9704,1.07003,0.18492,-0.49465,0.9746,1.44213,0.26773,-0.39343,0.9347,1.49665,0.19344,-0.57019,0.8763,1.24211,0.39378,-0.44017,0.9518,1.22483,0.37761,-0.32216,0.99
1,0.63974,0.51465,0.05919,0.9725,0.5521,0.4527,-0.20904,0.9171,0.56614,0.36546,-0.42523,0.9394,0.62379,0.35578,-0.55359,0.99,0.70426,0.40376,-0.62271,0.9806,0.90899,-0.00857,-0.4727,0.99,1.06908,-0.21709,-0.63616,0.9214,1.18531,-0.31149,-0.73508,0.99,1.33146,-0.42073,-0.84362,0.9312,1.13178,-0.01482,-0.32616,0.9487,1.30222,-0.05588,-0.56446,0.99,1.10868,0.2229,-0.46305,0.979,1.12368,0.16033,-0.42165,0.99,1.30434,0.09118,-0.20781,0.961,1.48917,0.0818,-0.39823,0.974,1.22809,0.29658,-0.27804,0.9302,1.1954,0.2303,-0.17821,0.99,1.43571,0.25045,-0.02299,0.9119,1.51355,0.222,-0.20482,0.9501,1.29834,0.36174,-0.10913,0.99,1.25682,0.33691,-0.01525,0.9549
2,0.43814,0.42274,-0.10767,0.9261,0.31049,0.32552,-0.41076,0.8985,0.29562,0.15368,-0.73649,0.9444,0.40639,0.13639,-0.8562,0.952,0.45539,0.19026,-0.93373,0.987,0.75277,-0.33739,-0.75272,0.9384,0.96325,-0.57642,-0.94444,0.8926,1.14776,-0.77619,-1.09281,0.9458,1.29652,-0.87904,-1.19147,0.9833,1.10092,-0.2958,-0.56701,0.9253,1.30501,-0.40211,-0.87881,0.9769,1.02259,-0.02253,-0.77943,0.9483,1.03365,-0.08468,-0.69353,0.9667,1.2974,-0.1576,-0.42162,0.9209,1.53419,-0.20056,-0.67329,0.9188,1.15981,0.10312,-0.51945,0.975,1.16473,-0.00219,-0.41358,0.9052,1.45848,0.08086,-0.25342,0.9412,1.57538,0.01267,-0.41459,0.9285,1.2809,0.19806,-0.33863,0.906,1.264,0.19167,-0.20965,0.9755
3,0.39877,0.494,0.01454,0.9435,0.21877,0.41929,-0.25893,0.99,0.15697,0.28614,-0.50895,0.935,0.21049,0.27553,-0.62965,0.9507,0.25434,0.32909,-0.71522,0.9074,0.49091,-0.13863,-0.61959,0.9693,0.62652,-0.37312,-0.79237,0.9231,0.73002,-0.50689,-0.94506,0.9869,0.84899,-0.60627,-1.0378,0.99,0.78334,-0.11541,-0.51394,0.9648,0.91888,-0.21898,-0.80117,0.9652,0.72793,0.12622,-0.65925,0.9163,0.73781,0.0563,-0.62843,0.9506,1.03716,-0.00509,-0.44338,0.9372,1.14162,-0.05144,-0.7069,0.9557,0.93914,0.21767,-0.5072,0.9712,0.92702,0.14063,-0.3959,0.9302,1.19356,0.1713,-0.31101,0.9691,1.24825,0.1105,-0.47384,0.9497,1.05066,0.31354,-0.35193,0.9436,1.03272,0.24849,-0.23008,0.9709
4,0.44386,0.70864,-0.01247,0.9487,0.28781,0.57931,-0.36426,0.902,0.23739,0.48117,-0.63106,0.9524,0.27036,0.4493,-0.7804,0.9627,0.3793,0.51404,-0.86624,0.9654,0.66186,-0.03002,-0.75747,0.9358,0.8671,-0.28864,-0.98776,0.971,1.02114,-0.42874,-1.11876,0.905,1.12937,-0.54704,-1.28102,0.9756,1.00551,-0.00812,-0.62351,0.973,1.1747,-0.09282,-0.9615,0.9243,0.92115,0.28579,-0.7845,0.9499,0.96925,0.24073,-0.7289,0.9479,1.26401,0.12123,-0.46352,0.9873,1.43553,0.12423,-0.77489,0.9395,1.12938,0.37368,-0.56535,0.9354,1.12377,0.28935,-0.45232,0.9428,1.44018,0.37298,-0.33002,0.9382,1.53031,0.29253,-0.50941,0.9718,1.26828,0.46273,-0.39304,0.9886,1.2532,0.43294,-0.24789,0.9857
5,0.6535,0.64098,0.06253,0.9294,0.57397,0.55292,-0.19242,0.99,0.58022,0.42904,-0.41227,0.9812,0.67054,0.41774,-0.52117,0.9701,0.74789,0.46428,-0.55321,0.9343,0.89223,0.04074,-0.39778,0.9712,1.08223,-0.17499,-0.51299,0.9001,1.19656,-0.27516,-0.61795,0.9511,1.30669,-0.40156,-0.67134,0.9371,1.13264,0.04565,-0.25125,0.973,1.30673,-0.04378,-0.45847,0.9881,1.11777,0.28211,-0.40403,0.9348,1.10586,0.24051,-0.3438,0.9725,1.30625,0.14378,-0.11838,0.215,1.48695,0.07845,-0.29859,0.9753,1.21685,0.34523,-0.20857,0.9472,1.19954,0.26304,-0.08977,0.9002,1.41448,0.30491,0.03283,0.9418,1.49245,0.26403,-0.07814,0.9262,1.28803,0.41215,-0.03263,0.9484,1.25493,0.40149,0.04199,0.9539
6,0.37658,0.38776,-0.06709,0.9018,0.29557,0.33629,-0.30681,0.9476,0.2628,0.23033,-0.52165,0.99,0.28823,0.22115,-0.63632,0.9277,0.3597,0.26293,-0.68654,0.9577,0.56483,-0.15284,-0.60475,0.9112,0.7177,-0.34759,-0.73999,0.8934,0.82173,-0.42007,-0.87118,0.969,0.93695,-0.52085,-0.96309,0.9036,0.81215,-0.12889,-0.48813,0.9362,0.97807,-0.19614,-0.72676,0.9455,0.7724,0.10166,-0.62281,0.9675,0.77562,0.06644,-0.57565,0.944,1.00522,-0.01419,-0.39064,0.9625,1.1285,-0.03592,-0.59618,0.9607,0.92367,0.18082,-0.44977,0.9558,0.89351,0.1037,-0.35216,0.9195,1.15478,0.15447,-0.27639,0.9462,1.19821,0.10762,-0.386,0.99,1.007,0.25384,-0.28207,0.9547,0.97525,0.22891,-0.22492,0.9366
7,0.65396,0.603,-0.03083,0.99,0.50647,0.5148,-0.33248,0.9378,0.46259,0.35982,-0.65315,0.9465,0.51257,0.3511,-0.75965,0.8791,0.62695,0.3852,-0.82675,0.99,0.85129,-0.12577,-0.67806,0.9308,1.06002,-0.42298,-0.867,0.9861,1.17667,-0.56567,-1.01923,0.9422,1.30547,-0.68815,-1.13399,0.9635,1.18217,-0.10361,-0.56983,0.9583,1.36128,-0.243,-0.87545,0.9171,1.13205,0.15037,-0.70407,0.99,1.13942,0.0854,-0.61926,0.9833,1.40783,0.00921,-0.37823,0.9314,1.6455,-0.08873,-0.66047,0.9709,1.3274,0.25127,-0.52192,0.99,1.28108,0.14799,-0.37959,0.9202,1.5932,0.20826,-0.2308,0.9457,1.68776,0.13791,-0.3833,0.9325,1.43464,0.31763,-0.28511,0.9654,1.4017,0.33294,-0.18686,0.9413
8,0.41224,0.46824,0.05847,0.9633,0.21466,0.34735,-0.24559,0.8923,0.14141,0.20394,-0.48865,0.9601,0.17504,0.182,-0.67535,0.99,0.24321,0.21557,-0.75827,0.9102,0.54687,-0.28767,-0.61616,0.9721,0.69304,-0.57456,-0.81019,0.9377,0.80254,-0.70181,-0.96135,0.9351,0.90454,-0.84493,-1.11858,0.932,0.8939,-0.24215,-0.56408,0.9574,1.00268,-0.3973,-0.87965,0.8993,0.80037,-0.00556,-0.71438,0.9009,0.83442,-0.02814,-0.65812,0.99,1.14104,-0.15102,-0.44795,0.9857,1.28193,-0.18739,-0.78375,0.957,0.97812,0.11565,-0.56855,0.9652,0.99223,0.05219,-0.43184,0.9632,1.32504,0.09975,-0.37204,0.8939,1.35611,0.02876,-0.55831,0.9738,1.15791,0.23342,-0.39939,0.9623,1.1485,0.22562,-0.24271,0.937
9,0.57891,0.60844,0.0591,0.9029,0.49888,0.5362,-0.21845,0.931,0.49654,0.43952,-0.44836,0.9531,0.5389,0.43423,-0.55636,0.9459,0.62067,0.47513,-0.62112,0.9375,0.87879,0.06349,-0.51023,0.9399,1.05094,-0.14061,-0.67767,0.9069,1.15479,-0.24663,-0.79655,0.912,1.28503,-0.35227,-0.90078,0.99,1.11979,0.07509,-0.40643,0.9529,1.29701,0.00842,-0.6478,0.9322,1.05745,0.33247,-0.51172,0.9453,1.09276,0.27065,-0.4653,0.9206,1.29885,0.19176,-0.22871,0.9855,1.48331,0.17542,-0.47263,0.9575,1.20919,0.40225,-0.31225,0.9207,1.18799,0.31619,-0.22246,0.9664,1.45507,0.35034,-0.08753,0.9659,1.53221,0.32702,-0.24255,0.9475,1.31442,0.46781,-0.16445,0.929,1.24931,0.43488,-0.05163,0.9398
