frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.48465,0.55341,0.09541,0.99,0.35191,0.48929,-0.24322,0.9235,0.27503,0.33537,-0.51585,0.9684,0.34894,0.31323,-0.71097,0.9263,0.47474,0.34542,-0.76441,0.9136,0.68774,-0.21003,-0.60286,0.9724,0.85526,-0.55091,-0.91826,0.969,0.97119,-0.66672,-1.09845,0.9186,1.0531,-0.79662,-1.21853,0.9424,1.01236,-0.19502,-0.49614,0.9312,1.27056,-0.63979,-0.81536,0.99,1.46836,-0.918,-0.99998,0.9279,1.5929,-1.1242,-1.1771,0.9827,1.3004,-0.10726,-0.33178,0.99,1.58248,-0.45312,-0.58737,0.9026,1.79386,-0.61388,-0.70852,0.9059,1.97095,-0.83149,-0.78368,0.99,1.47134,0.08204,-0.1673,0.99,1.7674,-0.16505,-0.37474,0.9406,1.87461,-0.40281,-0.40654,0.9444,1.97977,-0.5743,-0.43625,0.9563
1,0.44626,0.69364,0.0851,0.9763,0.33645,0.60861,-0.16655,0.9803,0.31087,0.53998,-0.3849,0.944,0.38078,0.47709,-0.53336,0.99,0.45819,0.54756,-0.58213,0.9224,0.66177,0.13015,-0.47257,0.9287,0.82317,-0.12262,-0.71875,0.8958,0.93475,-0.20797,-0.83105,0.9126,1.0198,-0.28295,-0.9341,0.935,0.90537,0.13084,-0.35691,0.9814,1.15467,-0.18018,-0.59088,0.9217,1.33443,-0.37061,-0.74319,0.9582,1.46899,-0.49967,-0.87723,0.9469,1.1102,0.24271,-0.216,0.9882,1.36388,-0.00399,-0.38745,0.99,1.57533,-0.09462,-0.4738,0.99,1.70061,-0.27968,-0.55318,0.9365,1.26608,0.39019,-0.08716,0.9221,1.45179,0.21508,-0.2261,0.99,1.6075,0.07667,-0.2833,0.9188,1.67388,-0.05512,-0.31359,0.9165
2,0.5335,0.68461,-0.0664,0.9599,0.40449,0.63078,-0.31517,0.98,0.39569,0.54104,-0.50526,0.8698,0.41741,0.52221,-0.58196,0.95,0.48016,0.54005,-0.67066,0.983,0.68675,0.16845,-0.56543,0.9474,0.81568,-0.04083,-0.79252,0.938,0.8827,-0.13045,-0.91847,0.9429,0.94896,-0.22527,-1.01692,0.9644,0.92408,0.18836,-0.49613,0.9239,1.10196,-0.08296,-0.71894,0.9447,1.23294,-0.25804,-0.88623,0.9329,1.34181,-0.40156,-1.00032,0.9522,1.09376,0.29364,-0.40144,0.9504,1.31207,0.0878,-0.59234,0.9655,1.46079,-0.04457,-0.67136,0.936,1.57742,-0.17808,-0.74397,0.99,1.22621,0.43936,-0.31497,0.8971,1.40496,0.2555,-0.43498,0.9187,1.50532,0.11945,-0.49184,0.9459,1.59133,0.01548,-0.53302,0.9562
3,0.6437,0.51953,0.03698,0.907,0.50165,0.48363,-0.18892,0.925,0.46767,0.43451,-0.40867,0.99,0.49315,0.41206,-0.52548,0.9797,0.59717,0.45861,-0.57563,0.99,0.76002,0.07282,-0.52532,0.9177,0.90852,-0.11998,-0.78914,0.9509,0.96354,-0.18685,-0.91754,0.9671,1.04969,-0.26497,-1.0156,0.9548,1.00494,0.07145,-0.45089,0.9687,1.19572,-0.18281,-0.72966,0.9455,1.30722,-0.30849,-0.90102,0.9376,1.43174,-0.44896,-1.03317,0.919,1.19221,0.15781,-0.35583,0.99,1.41187,-0.02859,-0.55801,0.9016,1.57041,-0.1378,-0.66279,0.907,1.66895,-0.22761,-0.75425,0.9723,1.33084,0.29597,-0.22077,0.9803,1.49665,0.1275,-0.39712,0.8963,1.60869,0.02439,-0.47382,0.9597,1.68614,-0.08995,-0.52441,0.9523
4,0.39322,0.58117,-0.05211,0.9829,0.27231,0.52859,-0.30889,0.9102,0.23987,0.40436,-0.55377,0.9355,0.26415,0.39523,-0.6779,0.9239,0.34392,0.42359,-0.72652,0.8787,0.54411,-0.00964,-0.63923,0.972,0.73187,-0.26765,-0.87117,0.943,0.80089,-0.36879,-1.0145,0.9065,0.87215,-0.47322,-1.10237,0.9577,0.84402,0.00765,-0.52663,0.8832,1.02905,-0.35598,-0.83628,0.9553,1.18065,-0.55108,-0.97156,0.9002,1.3234,-0.70998,-1.10385,0.9293,1.04146,0.07331,-0.43996,0.9476,1.28503,-0.16477,-0.62731,0.99,1.47805,-0.29908,-0.7204,0.976,1.59768,-0.45375,-0.81551,0.9557,1.19897,0.28335,-0.32274,0.9089,1.40868,0.05754,-0.45766,0.982,1.53417,-0.10535,-0.53205,0.9563,1.63379,-0.23924,-0.58124,0.9782
5,0.65182,0.67564,-0.02508,0.9527,0.50121,0.52562,-0.42853,0.9077,0.45877,0.41068,-0.72531,0.9204,0.53475,0.38028,-0.87462,0.9196,0.64147,0.4045,-1.00085,0.8823,0.90549,-0.19295,-0.78861,0.928,1.15933,-0.51908,-1.11313,0.9182,1.25218,-0.68138,-1.31351,0.9623,1.37519,-0.79984,-1.41819,0.9501,1.24439,-0.18649,-0.62907,0.9624,1.56624,-0.66105,-0.98281,0.99,1.79431,-0.90896,-1.20814,0.9521,1.95653,-1.1461,-1.33737,0.9166,1.51458,-0.02528,-0.47301,0.46,1.8782,-0.37219,-0.70492,0.9593,2.15243,-0.62899,-0.79617,0.9438,2.31021,-0.78094,-0.92593,0.9462,1.73441,0.17663,-0.2699,0.9212,2.01576,-0.11021,-0.45253,0.9773,2.17063,-0.34756,-0.50647,0.9607,2.29363,-0.52537,-0.54702,0.9877
6,0.62487,0.54387,0.03779,0.9297,0.39833,0.42942,-0.29773,0.9576,0.26078,0.24278,-0.64224,0.9342,0.28913,0.20337,-0.79219,0.9677,0.43645,0.22093,-0.93798,0.9589,0.68734,-0.41445,-0.71559,0.9612,0.85298,-0.83713,-1.05819,0.9504,0.9632,-1.03248,-1.25162,0.9636,1.02327,-1.18847,-1.42247,0.9316,1.09669,-0.47937,-0.62932,0.966,1.32283,-0.99611,-0.98219,0.9857,1.48811,-1.29735,-1.22112,0.9104,1.6838,-1.58791,-1.43469,0.9585,1.4206,-0.31166,-0.49175,0.9407,1.73201,-0.7553,-0.78482,0.99,1.9687,-0.9987,-0.97758,0.9491,2.14676,-1.19209,-1.02855,0.9067,1.72834,-0.06143,-0.35714,0.9076,1.96559,-0.43775,-0.55386,0.9551,2.07465,-0.67627,-0.65059,0.99,2.2263,-0.87456,-0.73654,0.99
7,0.55139,0.68932,0.00419,0.9382,0.40925,0.56251,-0.39327,0.9503,0.41614,0.40484,-0.74851,0.9505,0.47471,0.38382,-0.89407,0.9868,0.59624,0.44914,-0.96379,0.9484,0.92,-0.19098,-0.75944,0.99,1.20887,-0.50917,-1.10199,0.9772,1.33858,-0.65789,-1.25189,0.8762,1.44764,-0.80985,-1.42147,0.9868,1.27285,-0.15941,-0.56386,0.9094,1.61915,-0.62043,-0.93635,0.9297,1.88216,-0.89825,-1.10463,0.9715,2.11223,-1.14178,-1.26819,0.9642,1.50714,0.01771,-0.37038,0.9869,1.9104,-0.35745,-0.60478,0.9553,2.21482,-0.55898,-0.6939,0.9594,2.40163,-0.7508,-0.79172,0.9009,1.69278,0.25132,-0.11423,0.9591,2.0325,-0.06333,-0.34806,0.99,2.20876,-0.27253,-0.36613,0.9337,2.34857,-0.46824,-0.4207,0.9316
8,0.35439,0.62287,0.00364,0.9219,0.22079,0.5408,-0.25051,0.9143,0.18023,0.43984,-0.5197,0.9641,0.2335,0.41685,-0.63949,0.99,0.30421,0.45337,-0.69605,0.9578,0.60198,0.03636,-0.58982,0.99,0.76182,-0.19523,-0.86688,0.9603,0.88889,-0.27768,-1.00082,0.99,0.95412,-0.3706,-1.12645,0.9443,0.83687,0.07801,-0.49652,0.9315,1.11695,-0.2358,-0.7872,0.8978,1.30165,-0.41735,-0.96231,0.9408,1.4425,-0.58123,-1.08232,0.934,1.05435,0.20543,-0.38221,0.9448,1.36541,-0.02799,-0.57252,0.91,1.57718,-0.13399,-0.68612,0.8882,1.74427,-0.26578,-0.76906,0.9767,1.22164,0.41007,-0.24343,0.9602,1.44867,0.14637,-0.40579,0.9788,1.59694,0.04763,-0.45193,0.9113,1.6959,-0.06077,-0.51549,0.9755
9,0.61483,0.56959,0.06291,0.9388,0.48657,0.47001,-0.15007,0.99,0.43624,0.34782,-0.4105,0.937,0.47219,0.32492,-0.52403,0.9683,0.55087,0.36387,-0.60266,0.9515,0.79975,-0.08595,-0.47586,0.9604,0.98437,-0.30263,-0.70958,0.956,1.06869,-0.40207,-0.85048,0.99,1.14283,-0.5174,-0.96612,0.99,1.08083,-0.01323,-0.37844,0.99,1.32289,-0.33496,-0.64471,0.9611,1.49199,-0.50959,-0.8215,0.9025,1.65026,-0.69731,-0.93833,0.9864,1.28149,0.11557,-0.28179,0.899,1.57067,-0.11133,-0.47168,0.99,1.75813,-0.25589,-0.57642,0.9658,1.87299,-0.38849,-0.64773,0.975,1.44085,0.31125,-0.15439,0.9691,1.68025,0.11515,-0.32062,0.97,1.76524,-0.04305,-0.39517,0.9338,1.87903,-0.17087,-0.42423,0.9404
