frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.52697,0.57572,0.04033,0.9065,0.43405,0.506,-0.24189,0.975,0.48184,0.15732,-0.47206,0.929,0.70532,-0.07896,-0.51631,0.9401,0.96338,-0.24694,-0.44081,0.9209,0.76344,-0.05739,-0.50908,0.9584,0.95025,-0.34009,-0.7522,0.8679,1.04165,-0.46509,-0.87718,0.9424,1.12363,-0.58268,-0.9785,0.9873,1.03619,-0.05841,-0.40821,0.99,1.29804,-0.41694,-0.65012,0.906,1.46165,-0.63948,-0.79534,0.9094,1.59564,-0.79872,-0.92033,0.9165,1.24173,0.0711,-0.26311,0.9822,1.40704,0.02106,-0.50693,0.99,1.13698,0.30843,-0.36331,0.99,1.10447,0.21854,-0.25374,0.9699,1.39403,0.27623,-0.13083,0.9559,1.46022,0.18553,-0.28743,0.9704,1.23888,0.37392,-0.18406,0.9521,1.20683,0.37367,-0.09475,0.9707
1,0.52277,0.44403,0.09912,0.99,0.37579,0.34924,-0.18602,0.8666,0.37638,-0.00787,-0.3851,0.9615,0.55146,-0.28778,-0.44607,0.9347,0.76188,-0.52146,-0.34196,0.958,0.61158,-0.32772,-0.42482,0.9742,0.71856,-0.64024,-0.6483,0.9174,0.82094,-0.78275,-0.77802,0.9382,0.86854,-0.91397,-0.88202,0.9862,0.8825,-0.32334,-0.30464,0.9141,1.02957,-0.75962,-0.56311,0.91,1.17806,-1.02506,-0.70266,0.9474,1.30408,-1.24718,-0.83086,0.9557,1.1154,-0.22841,-0.21354,0.9189,1.27223,-0.34478,-0.44228,0.8785,1.03946,-0.02064,-0.32051,0.9831,1.02409,-0.05497,-0.1861,0.987,1.32565,-0.06231,-0.07806,0.9689,1.37006,-0.1806,-0.24463,0.9644,1.18153,0.07264,-0.17225,0.9234,1.15835,0.0675,-0.05201,0.9613
2,0.64759,0.50614,0.0299,0.9788,0.44015,0.38414,-0.32612,0.9501,0.45304,-0.04845,-0.59415,0.99,0.74462,-0.38329,-0.69988,0.9705,1.08864,-0.60308,-0.59318,0.9264,0.81048,-0.39226,-0.66003,0.945,1.04234,-0.74753,-0.98224,0.9237,1.14361,-0.95028,-1.16463,0.9496,1.19452,-1.09387,-1.29518,0.9435,1.18144,-0.36871,-0.56864,0.9808,1.42367,-0.87381,-0.87853,0.9448,1.662,-1.16426,-1.10138,0.894,1.84426,-1.37452,-1.24337,0.9559,1.45654,-0.21866,-0.43934,0.962,1.66139,-0.30954,-0.76528,0.9088,1.32132,0.04743,-0.56079,0.9569,1.34816,-0.02935,-0.41844,0.9198,1.72679,0.03768,-0.32009,0.9251,1.76375,-0.06726,-0.51326,0.99,1.51021,0.16795,-0.38246,0.9372,1.48773,0.11243,-0.23456,0.9882
3,0.61259,0.6329,-0.07039,0.9545,0.41852,0.48204,-0.38485,0.9063,0.49736,0.16563,-0.73344,0.9009,0.79041,-0.14114,-0.86216,0.93,1.17143,-0.32371,-0.80261,0.9041,0.86163,-0.14438,-0.84678,0.9225,1.05135,-0.42315,-1.19028,0.99,1.18517,-0.56958,-1.40313,0.9541,1.26707,-0.70695,-1.52242,0.9691,1.19055,-0.07303,-0.75459,0.931,1.48657,-0.48894,-1.14777,0.99,1.71519,-0.7467,-1.35462,0.9339,1.92579,-0.90567,-1.55988,0.99,1.49021,0.10214,-0.60039,0.9364,1.65633,0.05056,-0.92525,0.9271,1.32108,0.34144,-0.69349,0.9486,1.34095,0.24402,-0.5507,0.9074,1.68561,0.30984,-0.47469,0.99,1.74661,0.28318,-0.67144,0.9729,1.48648,0.45875,-0.48597,0.9409,1.4612,0.46052,-0.36844,0.9642
4,0.57503,0.62955,0.0434,0.9241,0.3492,0.52912,-0.24039,0.9223,0.33428,0.0936,-0.47977,0.9548,0.57504,-0.23091,-0.53697,0.8976,0.85831,-0.4635,-0.4713,0.9195,0.61844,-0.24254,-0.53535,0.9271,0.75545,-0.62273,-0.79474,0.9793,0.83877,-0.79556,-0.97243,0.9117,0.8942,-0.91884,-1.06921,0.982,0.96604,-0.24372,-0.43662,0.9554,1.14028,-0.73278,-0.72819,0.9261,1.28884,-1.01894,-0.91078,0.9535,1.43942,-1.27801,-1.04831,0.9224,1.2512,-0.12558,-0.35697,0.9445,1.40901,-0.24149,-0.65217,0.9296,1.15536,0.14154,-0.47255,0.99,1.15472,0.06728,-0.33992,0.9262,1.47751,0.08915,-0.29605,0.9066,1.50048,-0.00194,-0.44574,0.9697,1.32094,0.24277,-0.32528,0.99,1.30853,0.23366,-0.20257,0.9081
5,0.53789,0.58915,0.05712,0.9723,0.34672,0.451,-0.31877,0.9441,0.4027,-0.00912,-0.60048,0.9387,0.673,-0.33394,-0.70676,0.9122,1.06281,-0.56683,-0.61447,0.9558,0.73414,-0.3134,-0.70386,0.9631,0.95856,-0.71524,-1.00809,0.9071,1.09744,-0.87545,-1.20851,0.9524,1.18192,-1.01814,-1.37417,0.8776,1.12563,-0.27352,-0.59895,0.928,1.4394,-0.77318,-0.94114,0.9352,1.63871,-1.04985,-1.18245,0.9476,1.86037,-1.33472,-1.3504,0.9857,1.43784,-0.09631,-0.43156,0.923,1.65836,-0.21705,-0.81548,0.9055,1.29629,0.17525,-0.57913,0.9257,1.28304,0.06624,-0.40712,0.9595,1.66323,0.14452,-0.29721,0.99,1.73574,0.04751,-0.52446,0.99,1.44046,0.27789,-0.36447,0.9407,1.45777,0.27766,-0.22118,0.26
6,0.66019,0.69209,-0.10756,0.99,0.48638,0.60541,-0.33612,0.9427,0.51204,0.32337,-0.591,0.99,0.68389,0.09488,-0.70562,0.99,0.91672,-0.10748,-0.6812,0.9536,0.74822,0.09179,-0.68788,0.9782,0.89337,-0.17536,-1.00345,0.9077,0.94117,-0.29064,-1.13076,0.8811,1.01462,-0.37846,-1.25298,0.9649,1.02117,0.08264,-0.63511,0.9715,1.20465,-0.26622,-0.92796,0.9638,1.35792,-0.45161,-1.13158,0.99,1.45319,-0.62021,-1.27143,0.942,1.2276,0.17875,-0.51234,0.9633,1.36606,0.13265,-0.78465,0.9444,1.14226,0.4147,-0.58649,0.99,1.15246,0.31317,-0.47567,0.923,1.43902,0.34308,-0.43249,0.9573,1.46629,0.27637,-0.58575,0.99,1.29712,0.46701,-0.4379,0.9783,1.25509,0.45982,-0.32968,0.99
7,0.5494,0.63613,-0.05911,0.967,0.38899,0.52541,-0.45296,0.9229,0.45194,0.10437,-0.76911,0.8867,0.73178,-0.25204,-0.81605,0.9103,1.04072,-0.52106,-0.71465,0.9737,0.79631,-0.2489,-0.79449,0.9341,1.04811,-0.6191,-1.10488,0.9212,1.16473,-0.78274,-1.28562,0.9786,1.28485,-0.92114,-1.38992,0.99,1.16666,-0.23734,-0.60464,0.99,1.46744,-0.74828,-0.93251,0.99,1.70953,-1.06506,-1.12373,0.924,1.90436,-1.2781,-1.27916,0.9354,1.4793,-0.1268,-0.42085,0.99,1.66077,-0.2059,-0.74845,0.9533,1.30623,0.16683,-0.54555,0.8886,1.30041,0.0796,-0.41631,0.9605,1.65209,0.13249,-0.23068,0.9364,1.75461,0.01871,-0.44844,0.9752,1.45741,0.29053,-0.3265,0.9781,1.40926,0.26868,-0.19475,0.9216
8,0.38405,0.6498,-0.01896,0.9564,0.24806,0.55993,-0.39322,0.967,0.27405,0.13118,-0.66231,0.9332,0.50841,-0.19884,-0.71576,0.942,0.79582,-0.42044,-0.61453,0.9264,0.58759,-0.20441,-0.72892,0.9272,0.76776,-0.57785,-1.00141,0.8888,0.87712,-0.73898,-1.18407,0.9739,0.99125,-0.8823,-1.30421,0.9487,0.95287,-0.21511,-0.55979,0.9325,1.19233,-0.728,-0.8787,0.99,1.40429,-1.00054,-1.07694,0.936,1.55364,-1.23417,-1.21416,0.9345,1.19516,-0.05771,-0.42997,0.9769,1.42329,-0.19186,-0.73108,0.9886,1.10008,0.18376,-0.54882,0.8957,1.06847,0.1344,-0.41739,0.9689,1.45098,0.14194,-0.25108,0.9747,1.51749,0.04751,-0.44985,0.9292,1.24356,0.3056,-0.34258,0.99,1.23052,0.30406,-0.21859,0.99
9,0.40938,0.49401,0.00785,0.99,0.19639,0.33301,-0.35191,0.9396,0.17876,-0.10929,-0.66196,0.9338,0.45022,-0.49186,-0.77224,0.9666,0.81632,-0.76595,-0.66272,0.9485,0.55335,-0.50305,-0.75007,0.9064,0.70152,-0.9221,-1.09333,0.9335,0.83265,-1.12508,-1.29342,0.9489,0.89132,-1.29052,-1.44842,0.9463,0.95849,-0.51313,-0.65612,0.9462,1.17359,-1.07989,-0.99946,0.99,1.38498,-1.39891,-1.25146,0.9382,1.56815,-1.70732,-1.42048,0.9357,1.2792,-0.34803,-0.50596,0.9333,1.45321,-0.50813,-0.85866,0.9311,1.12836,-0.02542,-0.63909,0.9312,1.12518,-0.1382,-0.47061,0.975,1.57295,-0.08723,-0.39692,0.9649,1.62448,-0.20675,-0.59404,0.9898,1.33835,0.08105,-0.41681,0.9707,1.33894,0.07064,-0.31341,0.99
