frame_id,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis
0,0.56532,0.54613,-0.02565,0.9863,0.39634,0.47123,-0.4055,0.9544,0.43894,0.01572,-0.77849,0.9468,0.7203,-0.29396,-0.89661,0.9331,1.08538,-0.55287,-0.8262,0.9491,0.82597,-0.30367,-0.91156,0.9679,1.05275,-0.66784,-1.28816,0.9264,1.15504,-0.82115,-1.53452,0.9714,1.25406,-0.99402,-1.69499,0.9476,1.22918,-0.29736,-0.7747,0.9561,1.52411,-0.75541,-1.21115,0.9564,1.7519,-1.04841,-1.47263,0.974,1.92627,-1.31901,-1.65571,0.9449,1.51246,-0.15265,-0.59745,0.9122,1.9081,-0.51431,-0.91785,0.9315,2.15586,-0.69103,-1.11369,0.9028,2.37667,-0.89622,-1.21363,0.9433,1.75615,0.1218,-0.44121,0.9665,1.81553,0.02366,-0.67918,0.9559,1.55603,0.26583,-0.46806,0.9488,1.51523,0.2625,-0.34217,0.9424
1,0.39963,0.40774,0.04921,0.96,0.25826,0.36375,-0.19013,0.9109,0.2517,0.07157,-0.38859,0.9448,0.41656,-0.15993,-0.47382,0.9773,0.64484,-0.32577,-0.44943,0.9437,0.46847,-0.16404,-0.49585,0.9264,0.58787,-0.40295,-0.72366,0.9384,0.66811,-0.52511,-0.82037,0.9294,0.71512,-0.61612,-0.94087,0.9681,0.74846,-0.17514,-0.39102,0.9473,0.89844,-0.48559,-0.65328,0.99,1.0163,-0.69552,-0.82942,0.9046,1.12811,-0.87892,-0.94777,0.99,0.91806,-0.08611,-0.29876,0.9727,1.158,-0.31849,-0.50708,0.9623,1.2855,-0.49376,-0.60562,0.9242,1.42358,-0.61987,-0.68567,0.9329,1.09284,0.06041,-0.19581,0.9299,1.134,0.01666,-0.34136,0.9352,0.96511,0.18796,-0.23632,0.9351,0.95289,0.16362,-0.18248,0.9486
2,0.51802,0.56687,0.01235,0.9188,0.4147,0.42378,-0.40183,0.973,0.48792,0.00919,-0.7023,0.9259,0.81329,-0.29604,-0.7801,0.9418,1.16992,-0.51334,-0.67394,0.9628,0.87113,-0.26317,-0.76735,0.9579,1.1652,-0.6313,-1.08412,0.99,1.29355,-0.78456,-1.27481,0.9704,1.42504,-0.92863,-1.42748,0.9415,1.21094,-0.27386,-0.61647,0.99,1.60805,-0.7262,-0.92464,0.9499,1.86648,-1.02203,-1.12004,0.9398,2.10712,-1.23332,-1.30306,0.9325,1.51344,-0.09636,-0.40508,0.9597,1.9512,-0.465,-0.61181,0.9169,2.19608,-0.64635,-0.74189,0.9239,2.40286,-0.84438,-0.82563,0.906,1.71401,0.14188,-0.16689,0.9306,1.75835,0.05568,-0.38979,0.9602,1.5105,0.31523,-0.24982,0.9348,1.46122,0.28038,-0.12053,0.9856
3,0.58324,0.49342,-0.00592,0.9553,0.48095,0.37665,-0.29544,0.9549,0.48399,0.06208,-0.47704,0.99,0.65227,-0.2244,-0.51114,0.9563,0.8735,-0.41573,-0.37777,0.9892,0.71088,-0.2234,-0.49584,0.9305,0.85817,-0.56277,-0.69743,0.9695,0.93159,-0.6789,-0.80819,0.9796,0.99199,-0.81942,-0.91313,0.9441,0.94938,-0.24634,-0.37068,0.9232,1.1614,-0.67078,-0.57464,0.9554,1.30621,-0.88949,-0.71684,0.9477,1.45299,-1.11264,-0.81739,0.9872,1.20947,-0.12522,-0.22673,0.9648,1.44111,-0.44351,-0.38395,0.9424,1.60863,-0.65238,-0.46757,0.9247,1.72601,-0.79469,-0.51357,0.919,1.36681,0.03621,-0.13481,0.9809,1.44496,-0.05076,-0.26452,0.9401,1.2362,0.16301,-0.20857,0.914,1.21506,0.15905,-0.10512,0.926
4,0.40072,0.67936,-0.07016,0.9512,0.29265,0.62071,-0.35171,0.9652,0.3347,0.3178,-0.61859,0.8759,0.56072,0.09867,-0.7048,0.99,0.82799,-0.04238,-0.65382,0.9299,0.61481,0.09069,-0.70819,0.9898,0.78687,-0.13666,-0.95964,0.9565,0.89433,-0.22256,-1.11491,0.9676,0.97031,-0.31341,-1.20871,0.9766,0.88478,0.12686,-0.60582,0.9681,1.12644,-0.1928,-0.87439,0.9716,1.31116,-0.35933,-1.05621,0.9586,1.4714,-0.54088,-1.18222,0.99,1.09674,0.25006,-0.47186,0.9432,1.38506,0.01309,-0.66936,0.9341,1.57195,-0.11411,-0.79455,0.9276,1.71339,-0.26337,-0.87196,0.9279,1.25831,0.40678,-0.31942,0.9442,1.32171,0.36378,-0.46846,0.9403,1.08456,0.52853,-0.35429,0.9648,1.07964,0.50562,-0.27025,0.898
5,0.59019,0.45019,-0.03084,0.968,0.48155,0.36687,-0.28873,0.99,0.51522,0.07704,-0.5204,0.9494,0.68627,-0.17007,-0.58245,0.9449,0.92203,-0.34857,-0.50555,0.982,0.73876,-0.18119,-0.56852,0.9774,0.8807,-0.42999,-0.79317,0.9667,0.97272,-0.54376,-0.94192,0.9469,1.04786,-0.65208,-1.02957,0.9485,0.9958,-0.18088,-0.4727,0.9568,1.19151,-0.537,-0.7194,0.9419,1.3121,-0.72222,-0.85404,0.9397,1.46778,-0.89836,-1.00517,0.878,1.21116,-0.08333,-0.36016,0.377,1.44538,-0.34559,-0.53146,0.951,1.62619,-0.51752,-0.63298,0.9261,1.73575,-0.64,-0.70177,0.9484,1.38419,0.07237,-0.2293,0.9044,1.41595,0.02821,-0.36562,0.99,1.22734,0.19531,-0.29954,0.9487,1.19177,0.18512,-0.19621,0.99
6,0.543,0.55708,0.11784,0.99,0.39573,0.48882,-0.19986,0.9272,0.40325,0.13878,-0.43912,0.9286,0.59336,-0.12984,-0.53809,0.9244,0.84743,-0.37209,-0.45851,0.99,0.6406,-0.15084,-0.51846,0.9434,0.80394,-0.4541,-0.79621,0.9583,0.894,-0.55654,-0.96686,0.9655,0.93369,-0.7013,-1.0746,0.9373,0.95846,-0.15308,-0.41067,0.99,1.15017,-0.55396,-0.70816,0.9489,1.28503,-0.79068,-0.86875,0.9058,1.4228,-1.00317,-1.01921,0.9447,1.19163,-0.058,-0.279,0.8735,1.44896,-0.37503,-0.53067,0.9369,1.63417,-0.56368,-0.6308,0.9414,1.77767,-0.73213,-0.70105,0.9466,1.40497,0.12768,-0.14862,0.9722,1.44301,0.05517,-0.35072,0.9225,1.27368,0.25063,-0.2238,0.9421,1.21476,0.23287,-0.08816,0.9347
7,0.59149,0.48799,-0.02159,0.9066,0.42251,0.39177,-0.34654,0.9617,0.49806,0.02907,-0.63759,0.94,0.71921,-0.27356,-0.711,0.99,1.0297,-0.46155,-0.60475,0.9053,0.79572,-0.26363,-0.69944,0.9185,1.00548,-0.56962,-0.97778,0.99,1.11503,-0.71315,-1.13912,0.8964,1.17987,-0.8371,-1.27326,0.9787,1.1229,-0.24014,-0.57834,0.9481,1.38361,-0.68614,-0.8674,0.9339,1.5858,-0.90691,-1.07758,0.9396,1.76531,-1.13294,-1.19939,0.9421,1.35614,-0.10694,-0.38926,0.9476,1.71168,-0.45759,-0.64323,0.9583,1.90887,-0.62335,-0.71829,0.944,2.04693,-0.81084,-0.82129,0.99,1.57063,0.0714,-0.24925,0.9399,1.62968,0.01433,-0.418,0.9751,1.378,0.23099,-0.30639,0.8914,1.33733,0.20457,-0.23204,0.9713
8,0.55279,0.66685,-0.01934,0.9327,0.46146,0.54606,-0.25149,0.9125,0.48079,0.2804,-0.41933,0.9455,0.63932,0.03091,-0.44741,0.98,0.84128,-0.14004,-0.33376,0.9131,0.68119,0.03466,-0.43036,0.9512,0.82517,-0.24614,-0.59946,0.9503,0.90597,-0.35231,-0.70095,0.9381,0.95614,-0.45358,-0.7698,0.956,0.93183,0.0239,-0.33449,0.8884,1.08965,-0.3322,-0.49622,0.9591,1.24318,-0.56018,-0.61169,0.964,1.32509,-0.70083,-0.67674,0.9473,1.11601,0.11035,-0.19074,0.971,1.32779,-0.1605,-0.33036,0.9397,1.49818,-0.31715,-0.3728,0.9585,1.56217,-0.45431,-0.43196,0.967,1.27699,0.26688,-0.12192,0.932,1.3153,0.19317,-0.23399,0.9367,1.14757,0.36534,-0.16142,0.8994,1.12244,0.40147,-0.0981,0.9729
9,0.40445,0.49833,0.07549,0.9723,0.18973,0.39248,-0.23722,0.9396,0.2215,-0.04543,-0.53983,0.9243,0.47607,-0.35658,-0.64869,0.9662,0.81471,-0.60974,-0.58269,0.9013,0.54492,-0.37245,-0.62564,0.9569,0.74557,-0.71814,-0.98485,0.9433,0.82644,-0.89509,-1.17722,0.9718,0.91286,-1.07435,-1.31035,0.99,0.9025,-0.34648,-0.54565,0.8996,1.18185,-0.85582,-0.9257,0.9495,1.3599,-1.13744,-1.17684,0.9548,1.54782,-1.37947,-1.3037,0.9678,1.22044,-0.20752,-0.42518,0.9246,1.54173,-0.56853,-0.71542,0.9049,1.80379,-0.80241,-0.86496,0.932,1.95805,-0.998,-0.99952,0.9691,1.47459,0.02698,-0.30531,0.9233,1.50103,-0.04463,-0.5247,0.99,1.28697,0.15606,-0.34592,0.9069,1.25528,0.14713,-0.19009,0.9464
10,0.50749,0.51594,0.02487,0.9337,0.28243,0.3447,-0.34417,0.9829,0.32558,-0.14354,-0.64057,0.9744,0.62181,-0.45606,-0.71097,0.9289,1.00994,-0.69297,-0.6271,0.9226,0.70795,-0.45239,-0.7097,0.9583,0.92601,-0.87342,-1.04952,0.974,1.0445,-1.02929,-1.22619,0.9084,1.14278,-1.20859,-1.37954,0.9487,1.08474,-0.44847,-0.6138,0.8772,1.40745,-0.9925,-0.93065,0.9065,1.63337,-1.25355,-1.19247,0.9729,1.80732,-1.55306,-1.37119,0.9126,1.42719,-0.2637,-0.46443,0.99,1.78035,-0.63394,-0.73526,0.8993,2.0447,-0.88264,-0.86334,0.9807,2.23583,-1.08998,-0.96103,0.9629,1.67411,0.05544,-0.31208,0.9758,1.70293,-0.08561,-0.54852,0.9611,1.44393,0.12903,-0.40049,0.985,1.39829,0.16098,-0.24088,0.9448
11,0.52935,0.62326,-0.05021,0.99,0.36842,0.52221,-0.4624,0.9583,0.40836,0.07879,-0.77181,0.9269,0.69918,-0.28367,-0.88347,0.9763,1.03926,-0.55201,-0.72615,0.9452,0.77753,-0.32282,-0.82806,0.9534,1.01363,-0.70522,-1.18814,0.9252,1.15857,-0.87783,-1.37429,0.9444,1.2571,-1.04331,-1.52439,0.9782,1.15937,-0.28294,-0.66635,0.9034,1.44824,-0.84841,-1.04438,0.9073,1.6913,-1.13838,-1.24141,0.9666,1.90325,-1.45319,-1.38197,0.9027,1.47291,-0.15644,-0.48541,0.9513,1.83702,-0.60547,-0.70302,0.965,2.09449,-0.82498,-0.84286,0.9648,2.3044,-1.07123,-0.91758,0.9766,1.70626,0.06245,-0.26516,0.9485,1.76572,-0.02787,-0.46932,0.9447,1.49117,0.25411,-0.35989,0.99,1.46352,0.21577,-0.21209,0.9202
12,0.53383,0.43362,-0.08309,0.99,0.38178,0.34234,-0.36057,0.954,0.40295,0.00148,-0.66521,0.9859,0.6367,-0.26993,-0.75604,0.9625,0.97968,-0.45226,-0.69403,0.9597,0.71038,-0.28047,-0.75386,0.984,0.92718,-0.5539,-1.03589,0.9721,0.99246,-0.67706,-1.22886,0.9276,1.08889,-0.80142,-1.34204,0.9852,1.04614,-0.2391,-0.63612,0.9785,1.30179,-0.62075,-0.98989,0.9269,1.47747,-0.85358,-1.18015,0.9645,1.65643,-1.05558,-1.35152,0.9687,1.28555,-0.11435,-0.5333,0.9445,1.60054,-0.38058,-0.77595,0.9307,1.80273,-0.56736,-0.91031,0.9863,1.94653,-0.70767,-1.02335,0.9788,1.47993,0.09401,-0.38641,0.9718,1.52087,0.02628,-0.55853,0.99,1.28699,0.25013,-0.42429,0.9426,1.26923,0.19215,-0.32166,0.9195
13,0.46421,0.58591,0.05026,0.9524,0.34612,0.49917,-0.14548,0.9519,0.38266,0.24885,-0.35725,0.9477,0.51645,0.04507,-0.40486,0.9595,0.74673,-0.096,-0.38374,0.934,0.58452,0.0437,-0.40247,0.9793,0.71704,-0.19443,-0.62121,0.9521,0.80122,-0.27653,-0.73769,0.99,0.81457,-0.3673,2.55026,0.9551,0.81457,0.05692,-0.3442,0.9617,0.98749,-0.24419,-0.55373,0.9177,1.11824,-0.42363,-0.71102,0.99,1.23117,-0.57334,-0.81835,0.8995,0.99727,0.13579,-0.22668,0.9715,1.22545,-0.08832,-0.42169,0.9221,1.36857,-0.19874,-0.50917,0.99,1.46588,-0.30972,-0.57157,0.9598,1.14741,0.29452,-0.14627,0.9224,1.18032,0.22536,-0.26934,0.9628,1.02339,0.37641,-0.19087,0.9546,0.98996,0.39153,-0.09513,0.9674
